"Values","Baseline","IP_0","Heur_0","IP_25","Heur_25","IP_50","Heur_50","IP_75","Heur_75","IP_100","Heur_100","IP_200","Heur_200","IP_500","Heur_500","IP_1000","Heur_1000"
"Average_Percent_Diff_Best",15.04,15.9,14.65,10.87,10.24,1.08,0.0,2.91,1.37,4.2,2.23,7.48,5.24,12.09,10.08,13.81,11.79
"Std_Percent_Diff_Best",1.54,1.81,1.91,1.72,1.54,0.94,0.0,0.8,0.7,0.84,0.81,1.25,1.08,1.89,1.65,2.1,2.03
"Ttest_Percent_Diff_Best",53.428,48.258,42.104,34.672,36.428,6.297,NaN,19.978,10.79,27.504,15.041,32.666,26.476,35.02,33.368,36.043,31.841
