"Baseline","IP_0","Heur_0","IP_25","Heur_25","IP_50","Heur_50","IP_75","Heur_75","IP_100","Heur_100","IP_200","Heur_200","IP_500","Heur_500","IP_1000","Heur_1000"
170.7956,169.28370666666666,167.51680000000002,163.57336,161.92507333333333,149.17050666666668,150.00667333333334,153.14301333333333,151.32076,154.76440666666664,154.27725333333333,158.5180533333333,157.08045333333334,168.16402666666667,166.80019333333334,171.5035,171.38049333333333
171.68959333333333,172.20498,169.83269333333334,162.93369333333334,163.71088,149.2249,146.67584666666667,152.31048666666666,150.15986666666666,156.67692666666667,152.31980666666666,158.38197333333332,157.03928666666667,165.24094,165.93521333333334,165.84768666666668,164.50261333333333
173.63066,174.22437333333332,173.18863333333334,165.46804,167.13563333333335,152.76396666666668,150.66321333333335,155.08727333333334,152.12519333333333,154.89895333333334,153.60788666666664,159.6727,157.45208666666667,163.90832666666665,165.30519333333334,166.87739333333334,166.1018
174.6378,173.72481333333334,172.11594,165.81266666666667,164.21836000000002,153.13219999999998,152.31036666666665,155.54844666666668,154.42675333333332,158.19826,156.33109333333334,161.87169333333333,159.66228,168.25144,168.95690666666667,171.18412,171.69746666666668
168.26263333333335,171.30123333333333,171.29743333333332,166.41573333333335,163.42948666666666,148.22705333333332,148.08845333333332,151.24206666666666,149.82544666666666,154.49316,152.27081333333334,157.89784,155.76019333333335,167.42629333333335,164.99564,165.89233333333334,165.09096666666667
173.16490666666667,175.56315999999998,171.83508,168.86981333333333,167.1851,150.21455333333333,148.67224,153.83314,151.50614,153.62386666666666,150.56266666666667,160.41428666666667,156.33715999999998,163.8449466666667,163.11324,168.33204666666668,163.03518
172.20082666666667,175.14474666666666,168.93413999999999,162.89980666666665,164.06200666666666,150.85688666666667,149.29123333333334,154.74102666666667,151.36882,156.88730666666666,151.75165333333334,163.27328,156.98534666666666,168.5283,166.68410666666668,174.03181333333333,173.43857333333332
176.18284666666668,178.8215,178.44939333333335,169.99990666666665,167.56868666666668,152.82772,153.31277333333333,155.17905333333331,153.20007333333334,157.98869333333334,155.50214666666668,160.17531333333332,159.4431,167.97938,165.0189266666667,172.111,168.02108666666666
171.25526666666667,172.74336666666665,170.77704,163.85351333333332,166.05405333333331,149.86598,149.97521999999998,152.32172666666668,151.59544,155.48897333333332,152.71504,159.17286000000001,156.50084,168.12631333333334,163.06694666666667,167.53572,164.6114266666667
173.44173999999998,176.14709333333334,176.81858,170.43218,168.37806666666668,149.7944466666667,147.57224666666667,151.22957333333332,149.77496,154.54203333333334,151.78135333333333,157.37124,153.84376,163.42796666666666,158.53755999999998,163.70194,160.45444
