"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
253995.07,0.442,63415.67,190579.4,663,6
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
1007.63,0.6,286.73,720.9,3,0
737.69,0.4,124.86,612.82,2,0
738.43,0.4,95.35,643.08,2,0
540.37,0.0,75.62,464.74,0,0
677.26,0.2,119.57,557.69,1,0
872.28,0.6,151.38,720.9,3,0
687.45,0.2,122.19,565.26,1,0
642.53,0.0,185.35,457.18,0,0
542.71,0.0,62.84,479.87,0,0
1066.02,1.0,174.35,891.67,5,0
713.19,0.4,85.24,627.95,2,0
550.57,0.0,116.08,434.49,0,0
693.48,0.2,135.78,557.69,1,0
1275.16,1.2,305.68,969.49,6,0
924.77,0.8,110.92,813.85,4,0
946.86,0.6,203.27,743.59,3,0
993.52,0.8,179.68,813.85,4,0
932.56,0.8,148.97,783.59,4,0
864.1,0.6,173.46,690.64,3,0
1028.24,1.0,144.14,884.1,5,0
822.24,0.6,139.16,683.08,3,0
837.08,0.4,201.57,635.51,2,0
743.91,0.4,100.84,643.08,2,0
937.4,0.6,193.81,743.59,3,0
575.8,0.0,111.05,464.74,0,0
968.64,0.6,270.43,698.21,3,0
1674.49,1.2,705.0,969.49,6,0
576.36,0.0,104.05,472.31,0,0
904.19,0.4,261.11,643.08,2,0
815.42,0.4,149.65,665.77,2,0
572.81,0.0,145.89,426.92,0,0
503.36,0.0,91.57,411.79,0,0
593.24,0.0,151.19,442.05,0,0
502.11,0.0,67.62,434.49,0,0
491.62,0.0,57.14,434.49,0,0
494.11,0.0,59.62,434.49,0,0
1602.18,1.4,562.43,1039.74,7,0
1389.01,1.0,489.78,899.23,5,0
619.54,0.2,84.54,535.0,1,0
987.48,0.4,329.27,658.21,2,0
925.56,0.6,242.49,683.08,3,0
617.0,0.2,82.0,535.0,1,0
1055.76,0.8,279.73,776.03,4,0
765.46,0.4,129.95,635.51,2,0
804.4,0.2,254.27,550.13,1,0
582.16,0.0,132.54,449.62,0,0
932.11,0.4,311.73,620.38,2,0
919.62,0.4,284.11,635.51,2,0
1075.12,0.6,361.78,713.33,3,0
588.74,0.2,84.0,504.74,1,0
542.65,0.0,108.16,434.49,0,0
647.97,0.4,65.41,582.56,2,0
669.64,0.2,111.95,557.69,1,0
749.26,0.2,184.0,565.26,1,0
852.97,0.4,209.89,643.08,2,0
825.0,0.2,282.43,542.56,1,0
861.57,0.4,241.19,620.38,2,0
766.18,0.4,168.49,597.69,2,0
795.33,0.6,127.38,667.95,3,0
1107.98,0.6,387.08,720.9,3,0
786.53,0.2,221.27,565.26,1,0
999.76,0.6,263.73,736.03,3,0
746.0,0.4,118.05,627.95,2,0
699.52,0.4,79.14,620.38,2,0
900.5,0.6,187.16,713.33,3,0
1416.23,0.8,625.08,791.15,4,0
1016.87,0.6,303.54,713.33,3,0
491.55,0.0,79.76,411.79,0,0
514.19,0.2,39.7,474.49,1,0
903.28,0.6,182.38,720.9,3,0
839.02,0.6,155.95,683.08,3,0
1291.94,1.0,468.35,823.59,5,0
1069.28,0.4,403.51,665.77,2,0
1028.75,0.6,285.16,743.59,3,0
649.0,0.2,114.0,535.0,1,0
667.12,0.2,109.43,557.69,1,0
581.81,0.2,46.81,535.0,1,0
512.92,0.0,78.43,434.49,0,0
785.31,0.4,180.05,605.26,2,0
1036.07,0.4,377.86,658.21,2,0
1210.2,1.0,363.92,846.28,5,0
753.82,0.2,241.51,512.31,1,0
1470.87,1.4,461.38,1009.49,7,0
580.97,0.0,131.35,449.62,0,0
669.46,0.2,126.89,542.56,1,0
1048.37,1.0,224.78,823.59,5,0
599.07,0.0,141.89,457.18,0,0
696.64,0.2,191.89,504.74,1,0
669.12,0.2,103.86,565.26,1,0
756.86,0.2,206.73,550.13,1,0
791.32,0.4,148.24,643.08,2,0
816.72,0.2,259.03,557.69,1,0
852.46,0.6,184.51,667.95,3,0
559.45,0.0,109.84,449.62,0,0
858.34,0.6,152.57,705.77,3,0
1375.79,1.0,506.81,868.97,5,0
1232.66,1.0,333.43,899.23,5,0
760.55,0.2,255.81,504.74,1,0
1445.51,1.0,561.41,884.1,5,1
594.31,0.0,129.57,464.74,0,0
450.66,0.0,46.43,404.23,0,0
975.37,0.4,317.16,658.21,2,0
484.44,0.0,72.65,411.79,0,0
822.4,0.6,131.76,690.64,3,0
1117.9,0.4,497.51,620.38,2,0
617.39,0.2,112.65,504.74,1,0
645.48,0.2,102.92,542.56,1,0
1277.71,1.0,416.3,861.41,5,0
842.08,0.6,113.62,728.46,3,0
1541.29,1.0,710.14,831.15,5,0
899.63,0.6,193.86,705.77,3,0
817.83,0.6,134.76,683.08,3,0
1094.0,0.6,410.92,683.08,3,0
1169.14,0.8,400.68,768.46,4,0
1010.18,0.4,351.97,658.21,2,0
1105.08,0.6,361.49,743.59,3,0
645.5,0.2,80.24,565.26,1,0
1167.05,0.8,383.46,783.59,4,0
570.43,0.0,135.95,434.49,0,0
450.12,0.0,38.32,411.79,0,0
1026.78,0.6,290.76,736.03,3,0
1207.36,0.6,494.03,713.33,3,0
1147.64,0.8,348.92,798.72,4,0
963.28,0.6,257.51,705.77,3,0
786.52,0.2,213.7,572.82,1,0
1366.26,1.0,527.54,838.72,5,1
517.13,0.0,67.51,449.62,0,0
1316.58,0.8,502.73,813.85,4,0
756.63,0.2,229.19,527.44,1,0
839.49,0.6,111.03,728.46,3,0
521.03,0.0,86.54,434.49,0,0
860.47,0.8,107.14,753.33,4,0
1307.3,1.2,390.76,916.54,6,0
682.13,0.2,132.0,550.13,1,0
500.52,0.0,81.16,419.36,0,1
818.46,0.4,175.38,643.08,2,0
606.44,0.2,94.14,512.31,1,0
1291.09,0.8,484.81,806.28,4,0
744.94,0.2,194.81,550.13,1,0
719.09,0.2,206.78,512.31,1,0
614.73,0.2,79.73,535.0,1,0
711.43,0.2,168.86,542.56,1,0
455.5,0.0,43.7,411.79,0,0
1187.43,1.0,303.32,884.1,5,0
1017.82,0.8,203.97,813.85,4,0
669.8,0.4,64.54,605.26,2,0
710.56,0.2,168.0,542.56,1,0
828.51,0.4,177.86,650.64,2,0
1522.0,1.0,660.59,861.41,5,0
736.07,0.4,138.38,597.69,2,0
518.11,0.0,83.62,434.49,0,0
949.75,0.4,291.54,658.21,2,0
773.0,0.4,145.05,627.95,2,0
755.64,0.4,97.43,658.21,2,0
452.01,0.0,40.22,411.79,0,0
760.12,0.4,154.86,605.26,2,0
688.35,0.4,60.41,627.95,2,0
1187.28,1.0,386.38,800.9,5,0
563.29,0.0,121.24,442.05,0,0
622.03,0.2,87.03,535.0,1,0
847.47,0.6,187.08,660.38,3,0
1406.49,1.0,537.51,868.97,5,0
724.75,0.2,182.19,542.56,1,0
483.63,0.0,71.84,411.79,0,0
649.62,0.2,114.62,535.0,1,0
777.85,0.4,119.65,658.21,2,0
1078.44,0.6,372.68,705.77,3,0
