"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
258356.2,0.454,67442.61,190913.62,681,82
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
1007.63,0.6,286.73,720.9,3,0
737.69,0.4,124.86,612.82,2,0
738.43,0.4,95.35,643.08,2,0
540.37,0.0,75.62,464.74,0,0
677.26,0.2,119.57,557.69,1,0
872.28,0.6,151.38,720.9,3,0
687.45,0.2,122.19,565.26,1,0
642.53,0.0,185.35,457.18,0,0
542.71,0.0,62.84,479.87,0,0
1066.02,1.0,174.35,891.67,5,0
713.19,0.4,85.24,627.95,2,0
550.57,0.0,116.08,434.49,0,0
693.48,0.2,135.78,557.69,1,0
1275.16,1.2,305.68,969.49,6,0
924.77,0.8,110.92,813.85,4,0
946.86,0.6,203.27,743.59,3,0
993.52,0.8,179.68,813.85,4,0
932.56,0.8,148.97,783.59,4,1
864.1,0.6,173.46,690.64,3,0
1093.86,1.0,209.76,884.1,5,1
823.54,0.6,140.46,683.08,3,0
867.89,0.4,232.38,635.51,2,0
765.02,0.4,121.95,643.08,2,0
959.81,0.6,216.22,743.59,3,1
575.8,0.0,111.05,464.74,0,0
969.07,0.6,278.43,690.64,3,1
1526.7,1.2,549.65,977.05,6,0
576.36,0.0,104.05,472.31,0,0
904.19,0.4,261.11,643.08,2,0
815.42,0.4,149.65,665.77,2,0
572.81,0.0,145.89,426.92,0,1
503.36,0.0,91.57,411.79,0,0
596.05,0.0,154.0,442.05,0,1
498.49,0.0,64.0,434.49,0,0
491.62,0.0,57.14,434.49,0,0
496.81,0.0,62.32,434.49,0,1
1602.18,1.4,562.43,1039.74,7,0
1389.01,1.0,489.78,899.23,5,0
619.54,0.2,84.54,535.0,1,0
987.48,0.4,329.27,658.21,2,0
925.56,0.6,242.49,683.08,3,0
617.0,0.2,82.0,535.0,1,0
1055.76,0.8,279.73,776.03,4,0
765.46,0.4,129.95,635.51,2,0
804.4,0.2,254.27,550.13,1,0
562.56,0.0,112.95,449.62,0,1
932.11,0.4,311.73,620.38,2,0
962.86,0.4,327.35,635.51,2,1
1021.06,0.6,307.73,713.33,3,0
588.74,0.2,84.0,504.74,1,1
546.95,0.0,112.46,434.49,0,1
648.56,0.4,66.0,582.56,2,0
669.64,0.2,111.95,557.69,1,0
758.07,0.2,192.81,565.26,1,0
842.97,0.4,199.89,643.08,2,0
825.0,0.2,282.43,542.56,1,0
861.57,0.4,241.19,620.38,2,1
766.18,0.4,168.49,597.69,2,1
1388.29,0.6,705.22,683.08,3,0
1176.03,0.6,508.08,667.95,3,1
996.68,0.6,268.22,728.46,3,0
959.21,0.6,223.19,736.03,3,0
740.0,0.4,112.05,627.95,2,0
699.52,0.4,79.14,620.38,2,0
1186.43,0.8,402.84,783.59,4,1
1416.23,0.8,625.08,791.15,4,0
1016.87,0.6,303.54,713.33,3,1
489.96,0.0,78.16,411.79,0,0
511.28,0.0,99.49,411.79,0,1
874.31,0.6,160.97,713.33,3,1
871.59,0.6,180.95,690.64,3,0
1276.1,1.0,452.51,823.59,5,0
1205.29,0.6,461.7,743.59,3,0
906.19,0.6,170.16,736.03,3,0
649.0,0.2,114.0,535.0,1,0
667.12,0.2,109.43,557.69,1,0
580.51,0.2,45.51,535.0,1,1
517.22,0.0,82.73,434.49,0,1
735.17,0.6,82.35,652.82,3,1
1036.07,0.4,377.86,658.21,2,1
992.31,0.6,294.11,698.21,3,0
682.22,0.2,154.78,527.44,1,0
1476.27,1.4,466.78,1009.49,7,0
580.97,0.0,131.35,449.62,0,1
1096.16,0.6,413.08,683.08,3,1
1190.84,0.8,490.46,700.38,4,1
577.26,0.0,120.08,457.18,0,0
556.29,0.0,114.24,442.05,0,0
692.04,0.2,134.35,557.69,1,0
756.86,0.2,206.73,550.13,1,0
776.05,0.4,140.54,635.51,2,0
749.29,0.2,191.59,557.69,1,0
843.76,0.6,175.81,667.95,3,0
591.59,0.0,141.97,449.62,0,1
843.82,0.6,138.05,705.77,3,0
1362.52,1.0,501.11,861.41,5,0
1232.66,1.0,333.43,899.23,5,0
779.85,0.2,275.11,504.74,1,0
2243.1,1.2,1364.38,878.72,6,1
770.91,0.2,213.22,557.69,1,0
610.24,0.0,168.19,442.05,0,0
948.34,0.4,290.14,658.21,2,1
481.74,0.0,69.95,411.79,0,0
870.82,0.8,125.05,745.77,4,1
1117.9,0.4,497.51,620.38,2,1
692.14,0.4,132.27,559.87,2,0
645.48,0.2,102.92,542.56,1,1
1265.71,0.8,451.86,813.85,4,0
970.77,0.6,257.43,713.33,3,0
1103.74,0.4,490.92,612.82,2,0
960.71,0.8,207.38,753.33,4,0
793.36,0.4,172.97,620.38,2,0
697.56,0.4,99.86,597.69,2,0
1419.26,0.8,673.49,745.77,4,0
1126.62,0.6,390.59,736.03,3,0
1515.67,1.0,631.57,884.1,5,0
853.57,0.4,225.62,627.95,2,1
872.48,0.4,229.41,643.08,2,0
555.13,0.0,97.95,457.18,0,0
447.42,0.0,35.62,411.79,0,0
1424.58,1.2,477.78,946.79,6,0
935.88,0.8,137.16,798.72,4,0
981.05,0.8,197.46,783.59,4,1
948.36,0.6,242.59,705.77,3,0
