"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
250493.69,0.7407,42977.64,207515.97,1111,22
458.77,0.0,54.54,404.23,0,0
581.0,0.2,114.08,466.92,1,0
698.2,0.6,113.46,584.74,3,0
683.6,0.4,116.16,567.44,2,0
712.54,0.6,97.54,615.0,3,0
487.96,0.0,83.73,404.23,0,0
603.07,0.2,113.46,489.62,1,0
847.96,0.8,170.27,677.69,4,0
657.23,0.2,152.49,504.74,1,0
682.31,0.2,185.14,497.18,1,0
510.22,0.0,75.73,434.49,0,0
906.88,1.0,136.24,770.64,5,0
697.63,0.4,137.76,559.87,2,0
504.42,0.0,107.76,396.67,0,0
735.39,0.4,175.51,559.87,2,0
1270.83,1.6,259.16,1011.67,8,0
857.79,0.8,164.97,692.82,4,0
1054.05,1.2,182.89,871.15,6,0
974.76,1.0,173.86,800.9,5,0
898.78,1.0,143.27,755.51,5,1
859.07,0.8,181.38,677.69,4,0
1209.6,1.6,228.19,981.41,8,1
746.95,0.6,147.08,599.87,3,0
900.78,0.8,185.27,715.51,4,0
700.12,0.4,155.38,544.74,2,0
1033.58,1.2,154.86,878.72,6,0
566.22,0.2,106.86,459.36,1,0
761.27,0.6,146.27,615.0,3,0
1127.58,1.2,233.73,893.85,6,0
573.17,0.2,106.24,466.92,1,0
971.77,1.0,186.0,785.77,5,0
779.72,0.6,134.46,645.26,3,0
554.84,0.2,87.92,466.92,1,0
609.11,0.2,127.05,482.05,1,0
653.83,0.4,116.65,537.18,2,0
579.09,0.2,112.16,466.92,1,0
475.21,0.0,78.54,396.67,0,0
485.85,0.0,81.62,404.23,0,0
1333.89,1.8,244.41,1089.49,9,0
1104.44,1.4,178.16,926.28,7,0
805.97,0.6,183.41,622.56,3,0
839.61,0.6,194.35,645.26,3,0
956.71,1.0,163.38,793.33,5,0
775.53,0.6,130.27,645.26,3,0
1453.92,2.2,231.49,1222.44,11,0
814.27,0.8,106.32,707.95,4,1
765.15,0.4,212.84,552.31,2,0
492.01,0.0,72.65,419.36,0,0
1093.41,1.4,159.57,933.85,7,0
825.28,0.8,132.46,692.82,4,0
1121.85,1.4,188.0,933.85,7,0
683.5,0.4,138.76,544.74,2,0
693.57,0.4,118.57,575.0,2,0
666.04,0.4,113.73,552.31,2,0
646.7,0.4,71.7,575.0,2,0
1107.41,1.2,258.95,848.46,6,0
952.28,1.0,151.38,800.9,5,0
761.03,0.6,100.65,660.38,3,0
872.51,0.8,157.0,715.51,4,0
871.46,0.8,148.38,723.08,4,0
876.28,0.8,175.89,700.38,4,0
860.95,0.6,245.95,615.0,3,0
784.05,0.6,108.54,675.51,3,0
1077.26,1.2,206.11,871.15,6,0
862.46,0.8,139.38,723.08,4,0
581.71,0.2,122.35,459.36,1,0
1093.33,1.4,159.49,933.85,7,0
801.86,0.6,171.73,630.13,3,0
1168.18,1.4,196.51,971.67,7,1
578.07,0.2,88.46,489.62,1,0
656.18,0.4,126.57,529.62,2,0
1020.77,1.2,142.05,878.72,6,1
666.5,0.4,121.76,544.74,2,0
1238.23,1.6,211.43,1026.79,8,0
892.0,0.8,176.49,715.51,4,0
818.85,0.6,173.59,645.26,3,0
690.59,0.4,108.03,582.56,2,0
781.25,0.6,120.86,660.38,3,0
566.43,0.2,91.95,474.49,1,0
634.77,0.4,90.03,544.74,2,0
668.33,0.4,108.46,559.87,2,0
914.59,0.8,191.51,723.08,4,1
1275.75,1.6,264.08,1011.67,8,0
737.53,0.6,99.84,637.69,3,0
1180.59,1.6,176.49,1004.1,8,0
568.66,0.2,63.92,504.74,1,0
843.88,0.8,113.24,730.64,4,0
1029.47,1.2,150.76,878.72,6,0
859.24,0.8,136.16,723.08,4,0
696.79,0.4,129.35,567.44,2,0
874.1,1.0,111.03,763.08,5,0
1143.22,1.4,201.81,941.41,7,0
748.02,0.6,110.32,637.69,3,0
838.62,0.8,115.54,723.08,4,0
887.55,0.8,202.3,685.26,4,0
516.1,0.0,58.92,457.18,0,0
807.91,0.8,122.65,685.26,4,0
1119.9,1.2,294.14,825.77,6,0
1229.02,1.4,257.35,971.67,7,0
607.28,0.2,155.49,451.79,1,0
1365.59,1.8,215.59,1150.0,9,1
753.6,0.6,146.16,607.44,3,0
525.88,0.0,114.08,411.79,0,0
775.04,0.6,129.78,645.26,3,0
624.91,0.2,120.16,504.74,1,0
931.83,1.0,108.24,823.59,5,0
521.7,0.0,132.59,389.1,0,0
673.2,0.4,113.32,559.87,2,0
687.69,0.4,135.38,552.31,2,0
1030.19,1.2,189.3,840.9,6,0
574.65,0.2,107.73,466.92,1,0
928.01,0.8,242.76,685.26,4,0
781.08,0.6,166.08,615.0,3,0
792.41,0.8,92.03,700.38,4,0
998.54,1.0,190.08,808.46,5,0
1061.65,1.4,180.76,880.9,7,0
828.22,0.8,127.84,700.38,4,0
899.75,0.8,229.62,670.13,4,0
775.65,0.6,115.27,660.38,3,0
878.59,1.0,107.95,770.64,5,0
725.91,0.6,88.22,637.69,3,0
538.25,0.2,71.32,466.92,1,0
1280.67,1.6,208.49,1072.18,8,0
589.55,0.2,137.76,451.79,1,0
1160.79,1.6,126.43,1034.36,8,1
1061.32,1.2,190.16,871.15,6,0
762.02,0.6,131.89,630.13,3,0
1020.41,1.0,219.51,800.9,5,1
625.4,0.2,135.78,489.62,1,0
1532.77,2.0,312.51,1220.26,10,0
451.91,0.0,62.81,389.1,0,0
998.55,1.2,97.14,901.41,6,0
680.88,0.4,90.76,590.13,2,0
822.59,0.8,91.95,730.64,4,0
1083.08,1.4,126.54,956.54,7,0
742.46,0.6,74.51,667.95,3,0
676.9,0.4,109.46,567.44,2,0
989.92,1.0,234.41,755.51,5,0
599.11,0.2,117.05,482.05,1,0
1102.24,1.4,153.27,948.97,7,1
748.01,0.6,102.76,645.26,3,0
820.36,0.6,175.11,645.26,3,0
783.03,0.6,122.65,660.38,3,0
797.72,0.6,152.46,645.26,3,0
479.7,0.0,45.22,434.49,0,0
909.93,1.0,124.16,785.77,5,0
1017.14,1.2,115.73,901.41,6,0
765.59,0.6,74.95,690.64,3,0
704.64,0.4,159.89,544.74,2,0
1129.36,1.4,142.57,986.79,7,0
988.38,1.0,179.92,808.46,5,1
1204.0,1.6,146.95,1057.05,8,0
492.45,0.0,103.35,389.1,0,0
727.66,0.6,74.84,652.82,3,0
889.32,0.8,173.81,715.51,4,0
1017.62,1.2,169.16,848.46,6,0
486.32,0.0,36.7,449.62,0,0
688.63,0.4,128.76,559.87,2,0
869.44,0.8,123.68,745.77,4,0
971.5,1.0,193.3,778.21,5,0
526.83,0.2,37.22,489.62,1,0
469.72,0.0,73.05,396.67,0,0
1089.12,1.4,162.84,926.28,7,0
997.5,1.2,111.22,886.28,6,0
1197.16,1.4,240.62,956.54,7,0
498.12,0.0,86.32,411.79,0,0
742.99,0.6,97.73,645.26,3,0
1284.32,1.8,134.32,1150.0,9,0
1005.02,1.2,133.86,871.15,6,0
658.74,0.4,98.86,559.87,2,0
1117.11,1.4,160.57,956.54,7,0
1038.6,1.2,197.7,840.9,6,0
1241.48,1.6,229.81,1011.67,8,0
