"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
252942.04,0.7507,44167.95,208774.07,1126,0
458.77,0.0,54.54,404.23,0,0
581.0,0.2,114.08,466.92,1,0
698.2,0.6,113.46,584.74,3,0
683.6,0.4,116.16,567.44,2,0
712.54,0.6,97.54,615.0,3,0
487.96,0.0,83.73,404.23,0,0
603.07,0.2,113.46,489.62,1,0
847.96,0.8,170.27,677.69,4,0
657.23,0.2,152.49,504.74,1,0
682.31,0.2,185.14,497.18,1,0
510.22,0.0,75.73,434.49,0,0
906.88,1.0,136.24,770.64,5,0
697.63,0.4,137.76,559.87,2,0
504.42,0.0,107.76,396.67,0,0
735.39,0.4,175.51,559.87,2,0
1270.83,1.6,259.16,1011.67,8,0
857.79,0.8,164.97,692.82,4,0
1054.05,1.2,182.89,871.15,6,0
974.76,1.0,173.86,800.9,5,0
898.08,1.0,142.57,755.51,5,0
859.07,0.8,181.38,677.69,4,0
1198.6,1.6,217.19,981.41,8,0
749.55,0.6,149.68,599.87,3,0
900.78,0.8,185.27,715.51,4,0
701.88,0.4,149.57,552.31,2,0
1010.91,1.2,139.76,871.15,6,0
570.52,0.2,111.16,459.36,1,0
767.29,0.6,137.16,630.13,3,0
1201.84,1.2,353.38,848.46,6,0
572.17,0.2,105.24,466.92,1,0
993.74,1.0,200.41,793.33,5,0
791.42,0.6,146.16,645.26,3,0
587.3,0.2,127.95,459.36,1,0
580.83,0.2,91.22,489.62,1,0
655.72,0.4,118.54,537.18,2,0
589.41,0.2,130.05,459.36,1,0
482.77,0.0,78.54,404.23,0,0
474.5,0.0,77.84,396.67,0,0
1382.31,1.8,270.14,1112.18,9,0
1102.45,1.4,183.73,918.72,7,0
757.07,0.6,126.95,630.13,3,0
838.38,0.6,178.0,660.38,3,0
968.02,1.0,204.95,763.08,5,0
724.93,0.6,72.11,652.82,3,0
1455.63,2.2,233.19,1222.44,11,0
821.84,0.8,106.32,715.51,4,0
763.01,0.4,203.14,559.87,2,0
519.47,0.0,115.24,404.23,0,0
1095.84,1.4,146.86,948.97,7,0
818.71,0.8,110.76,707.95,4,0
1131.5,1.4,205.22,926.28,7,0
665.41,0.4,105.54,559.87,2,0
710.36,0.4,150.49,559.87,2,0
771.65,0.6,149.08,622.56,3,0
711.54,0.4,136.54,575.0,2,0
1115.33,1.2,274.43,840.9,6,0
946.9,1.0,153.57,793.33,5,0
712.0,0.6,89.43,622.56,3,0
798.35,0.8,82.84,715.51,4,0
883.62,0.8,175.68,707.95,4,0
854.22,0.8,146.27,707.95,4,0
949.17,1.0,148.27,800.9,5,0
804.12,0.6,158.86,645.26,3,0
1005.47,1.0,166.76,838.72,5,0
828.26,0.8,150.57,677.69,4,0
579.01,0.2,119.65,459.36,1,0
1045.8,1.2,167.08,878.72,6,0
931.05,0.8,215.54,715.51,4,0
1117.14,1.4,168.16,948.97,7,0
558.17,0.2,91.24,466.92,1,0
745.61,0.6,100.35,645.26,3,0
886.5,0.8,133.16,753.33,4,0
665.09,0.4,120.35,544.74,2,0
1104.83,1.2,241.24,863.59,6,0
766.56,0.6,128.86,637.69,3,0
783.09,0.6,130.27,652.82,3,0
740.49,0.6,80.11,660.38,3,0
668.63,0.4,108.76,559.87,2,0
637.18,0.4,92.43,544.74,2,0
667.84,0.4,92.84,575.0,2,0
693.84,0.4,133.97,559.87,2,0
1005.65,1.0,189.62,816.03,5,0
1222.19,1.4,280.78,941.41,7,0
725.55,0.6,133.24,592.31,3,0
1406.9,2.0,232.03,1174.87,10,0
591.72,0.2,94.54,497.18,1,0
755.31,0.6,110.05,645.26,3,0
922.31,1.0,136.54,785.77,5,0
691.05,0.4,116.05,575.0,2,0
458.13,0.0,69.03,389.1,0,0
1007.24,1.2,143.65,863.59,6,0
1169.98,1.4,236.14,933.85,7,0
736.0,0.6,113.43,622.56,3,0
763.36,0.6,110.54,652.82,3,0
864.79,0.8,171.97,692.82,4,0
603.14,0.2,68.14,535.0,1,0
846.32,0.8,123.24,723.08,4,0
839.93,0.6,240.05,599.87,3,0
1206.4,1.4,234.73,971.67,7,0
690.17,0.4,137.86,552.31,2,0
1394.76,1.8,252.32,1142.44,9,0
578.51,0.2,96.46,482.05,1,0
606.27,0.2,131.78,474.49,1,0
796.83,0.6,166.7,630.13,3,0
628.74,0.2,108.86,519.87,1,0
894.68,1.0,86.22,808.46,5,0
514.59,0.0,125.49,389.1,0,0
751.37,0.6,121.24,630.13,3,0
579.87,0.2,112.95,466.92,1,0
1371.03,2.0,188.59,1182.44,10,0
660.5,0.4,115.76,544.74,2,0
1211.04,1.4,277.19,933.85,7,0
780.27,0.6,165.27,615.0,3,0
676.96,0.4,124.65,552.31,2,0
1040.32,1.0,269.68,770.64,5,0
1290.57,1.6,309.16,981.41,8,0
975.59,1.0,152.0,823.59,5,0
849.55,0.8,164.3,685.26,4,0
773.39,0.6,120.57,652.82,3,0
914.25,1.0,113.35,800.9,5,0
782.75,0.6,145.05,637.69,3,0
570.22,0.2,95.73,474.49,1,0
1519.59,2.2,282.03,1237.56,11,0
696.57,0.4,121.57,575.0,2,0
1023.45,1.2,159.86,863.59,6,0
1211.83,1.6,200.16,1011.67,8,0
778.54,0.6,155.97,622.56,3,0
1098.12,1.2,211.84,886.28,6,0
478.91,0.0,82.24,396.67,0,0
1527.01,2.0,299.19,1227.82,10,0
