"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
222164.43,0.4527,33252.19,188912.36,679,0
543.17,0.0,55.73,487.44,0,0
686.53,0.2,136.41,550.13,1,0
806.56,0.6,108.35,698.21,3,0
757.0,0.4,129.05,627.95,2,0
750.64,0.4,92.43,658.21,2,0
530.42,0.0,58.11,472.31,0,0
634.37,0.2,84.24,550.13,1,0
863.52,0.6,135.05,728.46,3,0
654.65,0.2,112.08,542.56,1,0
648.94,0.0,191.76,457.18,0,0
542.01,0.0,62.14,479.87,0,0
976.98,1.0,123.14,853.85,5,0
711.49,0.4,83.54,627.95,2,0
555.32,0.0,113.27,442.05,0,0
706.99,0.2,149.3,557.69,1,0
1132.21,1.2,200.54,931.67,6,0
878.67,0.8,87.51,791.15,4,0
813.15,0.6,114.95,698.21,3,0
934.61,0.8,143.46,791.15,4,0
952.55,0.8,146.27,806.28,4,0
848.7,0.6,158.05,690.64,3,0
984.06,1.0,122.65,861.41,5,0
801.24,0.6,118.16,683.08,3,0
708.3,0.4,87.92,620.38,2,0
647.53,0.2,89.84,557.69,1,0
892.21,0.6,156.19,736.03,3,0
590.93,0.0,111.05,479.87,0,0
763.38,0.6,95.43,667.95,3,0
1108.21,1.2,184.11,924.1,6,0
580.52,0.0,100.65,479.87,0,0
766.13,0.4,123.05,643.08,2,0
887.96,0.8,96.81,791.15,4,0
533.24,0.0,83.62,449.62,0,0
508.77,0.0,96.97,411.79,0,0
554.26,0.0,104.65,449.62,0,0
677.91,0.2,112.65,565.26,1,0
491.03,0.0,56.54,434.49,0,0
722.88,0.6,77.62,645.26,3,0
1073.44,1.2,179.59,893.85,6,0
1002.43,1.0,133.46,868.97,5,0
622.95,0.2,87.95,535.0,1,0
668.01,0.2,102.76,565.26,1,0
795.24,0.6,112.16,683.08,3,0
668.36,0.2,95.54,572.82,1,0
956.56,0.8,172.97,783.59,4,0
672.04,0.4,59.22,612.82,2,0
622.26,0.0,157.51,464.74,0,0
566.55,0.0,94.24,472.31,0,0
704.29,0.4,114.16,590.13,2,0
697.04,0.4,84.22,612.82,2,0
998.4,1.0,174.81,823.59,5,0
564.31,0.2,52.0,512.31,1,0
708.47,0.4,95.65,612.82,2,0
645.11,0.4,70.11,575.0,2,0
677.33,0.4,64.51,612.82,2,0
703.3,0.2,183.43,519.87,1,0
613.43,0.2,78.43,535.0,1,0
570.09,0.2,50.22,519.87,1,0
836.3,0.8,75.41,760.9,4,0
715.82,0.4,110.57,605.26,2,0
819.16,0.6,136.08,683.08,3,0
719.17,0.4,106.35,612.82,2,0
635.26,0.2,85.14,550.13,1,0
915.76,0.6,187.3,728.46,3,0
668.72,0.2,103.46,565.26,1,0
725.09,0.6,79.84,645.26,3,0
824.18,0.6,125.97,698.21,3,0
982.8,0.8,191.65,791.15,4,0
879.17,0.8,118.27,760.9,4,0
516.95,0.0,82.46,434.49,0,0
513.0,0.2,38.51,474.49,1,0
715.24,0.4,79.73,635.51,2,0
821.91,0.8,98.84,723.08,4,0
1109.07,1.2,230.35,878.72,6,0
817.07,0.4,151.3,665.77,2,0
1015.32,1.0,123.65,891.67,5,0
605.81,0.2,70.81,535.0,1,0
633.57,0.2,106.14,527.44,1,0
666.2,0.4,45.81,620.38,2,0
509.78,0.0,67.73,442.05,0,0
685.11,0.4,117.68,567.44,2,0
816.55,0.4,150.78,665.77,2,0
923.91,0.6,233.27,690.64,3,0
584.53,0.2,87.35,497.18,1,0
1202.87,1.4,208.51,994.36,7,0
508.64,0.0,59.03,449.62,0,0
692.93,0.4,80.11,612.82,2,0
788.95,0.6,75.62,713.33,3,0
568.15,0.0,110.97,457.18,0,0
543.77,0.0,79.03,464.74,0,0
702.82,0.4,82.43,620.38,2,0
840.87,0.6,172.92,667.95,3,0
667.55,0.2,94.73,572.82,1,0
598.62,0.2,63.62,535.0,1,0
881.05,0.8,157.97,723.08,4,0
593.3,0.2,73.43,519.87,1,0
867.66,0.8,129.46,738.21,4,0
1168.23,1.4,189.0,979.23,7,0
1073.64,1.0,181.97,891.67,5,0
574.72,0.2,77.54,497.18,1,0
963.45,0.6,204.73,758.72,3,0
538.37,0.0,88.76,449.62,0,0
557.91,0.2,60.73,497.18,1,0
680.01,0.2,114.76,565.26,1,0
487.74,0.0,75.95,411.79,0,0
891.86,0.8,115.84,776.03,4,0
758.41,0.2,178.03,580.38,1,0
611.2,0.2,106.46,504.74,1,0
567.61,0.2,70.43,497.18,1,0
858.42,0.8,112.65,745.77,4,0
574.72,0.2,77.54,497.18,1,0
831.03,0.6,155.51,675.51,3,0
817.78,0.8,87.14,730.64,4,0
767.43,0.6,84.35,683.08,3,0
774.33,0.4,161.51,612.82,2,0
536.98,0.0,110.05,426.92,0,0
895.86,1.0,79.84,816.03,5,0
891.78,0.8,115.76,776.03,4,0
749.44,0.4,121.49,627.95,2,0
757.32,0.4,114.24,643.08,2,0
489.25,0.0,62.32,426.92,0,0
477.73,0.0,50.81,426.92,0,0
911.43,0.8,142.97,768.46,4,0
663.67,0.2,105.97,557.69,1,0
842.0,0.6,113.54,728.46,3,0
849.14,0.6,128.24,720.9,3,0
808.6,0.4,135.27,673.33,2,0
952.6,0.8,184.14,768.46,4,0
512.96,0.0,48.22,464.74,0,0
971.18,0.8,180.03,791.15,4,0
657.8,0.2,92.54,565.26,1,0
874.07,0.8,82.92,791.15,4,0
641.73,0.2,99.16,542.56,1,0
729.71,0.6,69.32,660.38,3,0
1016.87,1.2,115.46,901.41,6,0
528.31,0.0,56.0,472.31,0,0
650.99,0.2,100.86,550.13,1,0
781.79,0.4,161.41,620.38,2,0
675.67,0.4,85.54,590.13,2,0
926.72,0.8,135.57,791.15,4,0
737.85,0.6,85.03,652.82,3,0
589.75,0.0,147.7,442.05,0,0
624.84,0.2,89.84,535.0,1,0
778.0,0.6,94.92,683.08,3,0
458.9,0.0,47.11,411.79,0,0
1108.94,1.2,192.41,916.54,6,0
832.98,0.6,119.65,713.33,3,0
685.96,0.4,73.14,612.82,2,0
913.7,0.8,137.68,776.03,4,0
819.23,0.6,113.46,705.77,3,0
728.36,0.2,163.11,565.26,1,0
750.17,0.6,97.35,652.82,3,0
721.52,0.4,101.14,620.38,2,0
658.59,0.2,108.46,550.13,1,0
774.86,0.6,99.35,675.51,3,0
791.52,0.6,70.62,720.9,3,0
510.67,0.0,68.62,442.05,0,0
668.55,0.2,163.81,504.74,1,0
668.44,0.4,55.62,612.82,2,0
1377.85,2.0,210.54,1167.31,10,0
568.68,0.2,48.81,519.87,1,0
698.61,0.4,93.35,605.26,2,0
654.36,0.2,134.49,519.87,1,0
743.89,0.6,60.81,683.08,3,0
559.67,0.0,110.05,449.62,0,0
639.26,0.2,89.14,550.13,1,0
886.67,0.8,95.51,791.15,4,0
800.66,0.6,87.32,713.33,3,0
1110.94,1.4,139.27,971.67,7,0
763.42,0.4,105.22,658.21,2,0
1005.39,1.0,166.68,838.72,5,0
964.34,1.0,118.05,846.28,5,0
1014.02,0.8,222.86,791.15,4,0
815.21,0.6,71.62,743.59,3,0
498.97,0.0,56.92,442.05,0,0
840.77,0.6,142.57,698.21,3,0
898.87,0.8,137.97,760.9,4,0
651.51,0.2,108.95,542.56,1,0
571.14,0.2,43.7,527.44,1,0
1147.33,1.4,137.84,1009.49,7,0
660.34,0.2,102.65,557.69,1,0
795.19,0.6,119.68,675.51,3,0
778.03,0.6,117.65,660.38,3,0
746.49,0.4,118.54,627.95,2,0
1010.36,1.0,148.95,861.41,5,0
700.28,0.4,95.03,605.26,2,0
715.03,0.4,79.51,635.51,2,0
515.64,0.0,66.03,449.62,0,0
472.73,0.0,45.81,426.92,0,0
1000.93,1.0,147.08,853.85,5,0
840.66,0.4,167.32,673.33,2,0
1425.76,2.0,190.38,1235.38,10,0
659.91,0.2,94.65,565.26,1,0
463.68,0.0,44.32,419.36,0,0
589.04,0.2,76.73,512.31,1,0
792.66,0.4,134.46,658.21,2,0
798.95,0.4,163.43,635.51,2,0
712.85,0.4,100.03,612.82,2,0
879.25,0.8,118.35,760.9,4,0
1196.3,1.2,241.95,954.36,6,0
754.87,0.4,134.49,620.38,2,0
946.94,0.8,155.78,791.15,4,0
542.75,0.0,93.14,449.62,0,0
765.21,0.4,114.57,650.64,2,0
875.0,0.8,106.54,768.46,4,0
844.82,0.8,83.92,760.9,4,0
733.77,0.2,168.51,565.26,1,0
615.44,0.2,95.57,519.87,1,0
655.64,0.2,97.95,557.69,1,0
695.37,0.2,137.68,557.69,1,0
966.16,0.8,190.14,776.03,4,0
699.92,0.2,164.92,535.0,1,0
913.7,1.0,90.11,823.59,5,0
715.45,0.4,117.76,597.69,2,0
808.52,0.6,155.7,652.82,3,0
640.66,0.4,35.41,605.26,2,0
745.66,0.6,92.84,652.82,3,0
732.61,0.4,142.49,590.13,2,0
877.99,0.6,172.22,705.77,3,0
553.55,0.0,81.24,472.31,0,0
497.46,0.0,70.54,426.92,0,0
552.84,0.2,78.35,474.49,1,0
732.08,0.4,104.14,627.95,2,0
756.59,0.4,174.03,582.56,2,0
744.29,0.6,114.16,630.13,3,0
591.72,0.2,94.54,497.18,1,0
784.04,0.6,138.78,645.26,3,0
809.98,0.6,96.65,713.33,3,0
774.76,0.6,99.24,675.51,3,0
902.4,1.0,78.81,823.59,5,0
708.82,0.4,103.57,605.26,2,0
453.31,0.0,41.51,411.79,0,0
768.76,0.8,60.81,707.95,4,0
620.52,0.2,100.65,519.87,1,0
910.02,0.8,171.81,738.21,4,0
570.01,0.0,105.27,464.74,0,0
681.02,0.2,138.46,542.56,1,0
694.99,0.4,104.86,590.13,2,0
467.33,0.0,40.41,426.92,0,0
840.66,0.8,102.46,738.21,4,0
871.92,0.8,103.46,768.46,4,0
785.57,0.4,165.19,620.38,2,0
506.84,0.2,39.92,466.92,1,0
780.61,0.6,82.41,698.21,3,0
1125.66,1.2,171.3,954.36,6,0
515.72,0.0,66.11,449.62,0,0
962.51,1.0,131.35,831.15,5,0
590.17,0.2,62.73,527.44,1,0
604.89,0.2,62.32,542.56,1,0
539.02,0.0,81.84,457.18,0,0
625.65,0.4,58.22,567.44,2,0
631.49,0.4,71.62,559.87,2,0
458.17,0.0,38.81,419.36,0,0
791.73,0.4,163.78,627.95,2,0
507.24,0.0,57.62,449.62,0,0
782.48,0.4,124.27,658.21,2,0
610.67,0.0,168.62,442.05,0,0
581.53,0.2,84.35,497.18,1,0
770.81,0.6,102.86,667.95,3,0
555.58,0.0,90.84,464.74,0,0
471.36,0.0,52.0,419.36,0,0
471.87,0.0,52.51,419.36,0,0
1041.37,1.0,157.27,884.1,5,0
964.34,1.0,118.05,846.28,5,0
662.77,0.4,57.51,605.26,2,0
921.14,0.8,152.68,768.46,4,0
549.7,0.2,67.65,482.05,1,0
693.34,0.4,95.65,597.69,2,0
