"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
244658.54,0.72,37573.21,207085.4,1080,13
458.77,0.0,54.54,404.23,0,0
581.0,0.2,114.08,466.92,1,0
698.2,0.6,113.46,584.74,3,0
683.6,0.4,116.16,567.44,2,0
712.54,0.6,97.54,615.0,3,0
474.92,0.0,48.0,426.92,0,0
594.37,0.2,104.76,489.62,1,0
823.09,0.8,130.27,692.82,4,0
631.93,0.2,127.19,504.74,1,0
718.56,0.2,221.38,497.18,1,0
502.65,0.0,75.73,426.92,0,0
901.34,1.0,123.14,778.21,5,0
668.93,0.4,109.05,559.87,2,0
504.13,0.0,107.46,396.67,0,0
716.15,0.4,171.41,544.74,2,0
1389.76,2.0,267.84,1121.92,10,0
804.92,0.8,89.41,715.51,4,0
1007.18,1.2,136.03,871.15,6,0
958.82,1.0,173.05,785.77,5,0
886.79,1.0,153.97,732.82,5,1
853.87,0.8,161.05,692.82,4,0
999.31,1.2,113.03,886.28,6,0
730.19,0.6,122.76,607.44,3,0
836.95,0.8,121.43,715.51,4,0
671.6,0.4,111.73,559.87,2,0
1018.9,1.2,178.0,840.9,6,0
507.23,0.0,110.57,396.67,0,0
739.8,0.6,94.54,645.26,3,0
1145.3,1.4,196.32,948.97,7,0
632.45,0.4,102.84,529.62,2,0
942.71,1.0,149.38,793.33,5,1
580.88,0.2,76.14,504.74,1,0
534.82,0.2,83.03,451.79,1,0
580.15,0.2,67.84,512.31,1,0
594.65,0.2,120.16,474.49,1,0
490.42,0.0,93.76,396.67,0,0
568.91,0.2,71.73,497.18,1,0
461.15,0.0,56.92,404.23,0,0
1337.18,1.8,225.0,1112.18,9,0
1082.01,1.4,148.16,933.85,7,0
750.92,0.6,128.35,622.56,3,0
828.8,0.6,138.16,690.64,3,0
948.28,1.0,147.38,800.9,5,0
737.97,0.6,107.84,630.13,3,0
1446.05,2.2,208.49,1237.56,11,0
710.5,0.6,72.81,637.69,3,0
711.45,0.4,166.7,544.74,2,0
566.54,0.2,92.05,474.49,1,0
1080.3,1.4,184.27,896.03,7,0
757.52,0.6,97.14,660.38,3,0
1103.1,1.4,199.51,903.59,7,0
661.34,0.4,71.22,590.13,2,0
644.98,0.4,77.54,567.44,2,0
674.61,0.4,76.92,597.69,2,0
667.59,0.4,85.03,582.56,2,0
1195.68,1.4,254.27,941.41,7,0
896.54,1.0,133.46,763.08,5,0
765.86,0.6,75.22,690.64,3,0
821.9,0.8,76.14,745.77,4,0
807.82,0.8,122.57,685.26,4,0
972.39,1.0,133.68,838.72,5,0
752.18,0.6,122.05,630.13,3,0
534.91,0.0,77.73,457.18,0,0
1162.47,1.4,175.68,986.79,7,0
850.88,0.8,112.68,738.21,4,0
609.19,0.4,87.14,522.05,2,0
892.61,1.0,121.97,770.64,5,0
794.87,0.6,134.49,660.38,3,0
1142.96,1.4,171.3,971.67,7,1
557.12,0.2,44.81,512.31,1,0
722.47,0.6,77.22,645.26,3,0
767.77,0.6,114.95,652.82,3,0
674.89,0.4,92.32,582.56,2,0
1170.76,1.4,229.35,941.41,7,0
540.35,0.0,105.86,434.49,0,0
910.86,0.8,180.22,730.64,4,0
512.65,0.0,85.73,426.92,0,0
672.21,0.4,89.65,582.56,2,0
658.92,0.4,83.92,575.0,2,0
662.91,0.4,65.22,597.69,2,0
643.45,0.4,106.27,537.18,2,0
883.93,0.6,185.73,698.21,3,0
1195.47,1.4,269.19,926.28,7,0
850.1,0.8,119.46,730.64,4,0
1093.19,1.2,184.22,908.97,6,0
423.32,0.0,34.22,389.1,0,0
826.74,0.8,73.41,753.33,4,0
882.16,1.0,73.7,808.46,5,0
901.44,0.8,155.68,745.77,4,0
612.05,0.4,82.43,529.62,2,0
777.39,0.6,124.57,652.82,3,0
1046.26,1.2,159.97,886.28,6,0
481.42,0.0,69.62,411.79,0,0
1014.61,1.2,143.46,871.15,6,0
942.56,1.0,179.49,763.08,5,0
700.77,0.4,87.95,612.82,2,0
451.43,0.0,62.32,389.1,0,0
804.74,0.6,159.49,645.26,3,0
1406.72,2.0,201.59,1205.13,10,0
751.31,0.6,106.05,645.26,3,0
1207.48,1.4,235.81,971.67,7,1
567.65,0.2,93.16,474.49,1,0
483.64,0.0,94.54,389.1,0,0
877.23,0.8,131.46,745.77,4,0
584.65,0.2,110.16,474.49,1,0
950.64,1.0,127.05,823.59,5,0
590.79,0.2,139.0,451.79,1,0
761.63,0.6,101.24,660.38,3,0
671.17,0.4,118.86,552.31,2,0
1070.64,1.4,159.49,911.15,7,0
667.51,0.4,84.95,582.56,2,0
810.07,0.6,164.81,645.26,3,0
908.44,1.0,107.54,800.9,5,0
624.61,0.4,87.43,537.18,2,0
1047.64,1.2,168.92,878.72,6,0
1135.26,1.4,224.11,911.15,7,0
800.1,0.6,162.41,637.69,3,0
966.23,1.0,119.95,846.28,5,0
804.3,0.6,128.78,675.51,3,0
858.93,0.8,113.16,745.77,4,0
814.29,0.8,91.22,723.08,4,0
549.16,0.2,59.54,489.62,1,0
1342.22,1.8,199.78,1142.44,9,0
648.41,0.4,88.54,559.87,2,0
1133.72,1.4,154.49,979.23,7,0
1217.67,1.6,206.0,1011.67,8,0
755.04,0.6,117.35,637.69,3,0
1092.33,1.2,243.86,848.46,6,1
553.01,0.2,93.65,459.36,1,0
1350.04,1.6,270.3,1079.74,8,0
668.95,0.4,93.95,575.0,2,0
993.49,1.2,84.51,908.97,6,0
784.54,0.6,101.46,683.08,3,0
798.63,0.8,98.24,700.38,4,0
907.89,0.8,131.86,776.03,4,0
506.61,0.0,94.81,411.79,0,0
732.03,0.4,157.03,575.0,2,0
1055.21,1.2,191.62,863.59,6,0
507.73,0.0,73.24,434.49,0,0
857.06,0.8,156.68,700.38,4,0
837.65,0.8,122.14,715.51,4,0
1005.02,1.0,166.3,838.72,5,0
729.87,0.6,61.92,667.95,3,0
774.45,0.6,136.76,637.69,3,0
471.42,0.0,59.62,411.79,0,0
802.2,0.6,149.38,652.82,3,0
1025.2,1.2,131.35,893.85,6,0
752.72,0.6,54.51,698.21,3,0
716.01,0.4,110.76,605.26,2,0
1202.3,1.6,160.38,1041.92,8,0
1237.66,1.4,250.86,986.79,7,1
835.27,0.8,119.76,715.51,4,0
510.25,0.0,98.46,411.79,0,0
