"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
244195.96,0.722,36567.13,207629.01,1083,0
458.77,0.0,54.54,404.23,0,0
581.0,0.2,114.08,466.92,1,0
698.2,0.6,113.46,584.74,3,0
683.6,0.4,116.16,567.44,2,0
712.54,0.6,97.54,615.0,3,0
474.92,0.0,48.0,426.92,0,0
594.37,0.2,104.76,489.62,1,0
823.09,0.8,130.27,692.82,4,0
631.93,0.2,127.19,504.74,1,0
718.56,0.2,221.38,497.18,1,0
502.65,0.0,75.73,426.92,0,0
901.34,1.0,123.14,778.21,5,0
668.93,0.4,109.05,559.87,2,0
504.13,0.0,107.46,396.67,0,0
716.15,0.4,171.41,544.74,2,0
1389.76,2.0,267.84,1121.92,10,0
804.92,0.8,89.41,715.51,4,0
1007.18,1.2,136.03,871.15,6,0
958.82,1.0,173.05,785.77,5,0
882.25,1.0,141.86,740.38,5,0
842.47,0.8,149.65,692.82,4,0
991.74,1.2,113.03,878.72,6,0
730.19,0.6,122.76,607.44,3,0
837.08,0.8,129.14,707.95,4,0
673.6,0.4,113.73,559.87,2,0
1010.95,1.2,162.49,848.46,6,0
506.53,0.0,109.86,396.67,0,0
739.8,0.6,94.54,645.26,3,0
1138.03,1.4,196.62,941.41,7,0
709.36,0.6,117.05,592.31,3,0
949.66,1.0,163.89,785.77,5,0
580.65,0.2,53.22,527.44,1,0
565.33,0.2,90.84,474.49,1,0
597.36,0.2,85.05,512.31,1,0
574.03,0.2,99.54,474.49,1,0
580.94,0.2,83.76,497.18,1,0
537.36,0.2,70.43,466.92,1,0
467.69,0.0,71.03,396.67,0,0
1325.67,1.8,213.49,1112.18,9,0
1102.57,1.4,161.16,941.41,7,0
758.32,0.6,135.76,622.56,3,0
830.37,0.6,132.16,698.21,3,0
949.98,1.0,149.08,800.9,5,0
748.12,0.6,110.43,637.69,3,0
1474.85,2.2,214.59,1260.26,11,0
704.34,0.6,74.22,630.13,3,0
731.37,0.4,186.62,544.74,2,0
569.73,0.2,95.24,474.49,1,0
1113.77,1.4,187.49,926.28,7,0
743.5,0.6,98.24,645.26,3,0
1144.73,1.4,203.32,941.41,7,0
643.09,0.4,83.22,559.87,2,0
640.44,0.4,88.14,552.31,2,0
632.77,0.4,88.03,544.74,2,0
899.33,1.0,98.43,800.9,5,0
1203.14,1.4,254.16,948.97,7,0
933.84,1.0,132.95,800.9,5,0
764.19,0.6,96.24,667.95,3,0
831.56,0.8,93.35,738.21,4,0
835.33,0.8,127.38,707.95,4,0
939.62,1.0,131.16,808.46,5,0
791.72,0.6,146.46,645.26,3,0
546.88,0.0,82.14,464.74,0,0
1141.16,1.4,192.19,948.97,7,0
767.62,0.6,145.05,622.56,3,0
815.62,0.8,92.54,723.08,4,0
921.29,1.0,143.08,778.21,5,0
948.21,1.0,132.19,816.03,5,0
1115.84,1.4,159.3,956.54,7,0
542.8,0.2,45.62,497.18,1,0
771.87,0.8,63.92,707.95,4,0
766.54,0.6,91.03,675.51,3,0
964.16,1.0,140.57,823.59,5,0
1141.24,1.4,184.7,956.54,7,0
524.88,0.0,113.08,411.79,0,0
798.92,0.6,130.97,667.95,3,0
499.02,0.0,49.41,449.62,0,0
752.77,0.6,99.95,652.82,3,0
604.52,0.4,52.22,552.31,2,0
664.48,0.4,81.92,582.56,2,0
817.86,0.8,102.35,715.51,4,0
784.82,0.6,139.57,645.26,3,0
1213.9,1.4,272.49,941.41,7,0
827.67,0.8,112.16,715.51,4,0
1550.1,2.2,252.03,1298.08,11,0
448.06,0.0,28.7,419.36,0,0
743.76,0.6,75.81,667.95,3,0
723.79,0.6,63.41,660.38,3,0
662.2,0.4,117.46,544.74,2,0
587.23,0.2,90.05,497.18,1,0
901.66,1.0,123.46,778.21,5,0
1108.11,1.4,151.57,956.54,7,0
691.65,0.6,84.22,607.44,3,0
942.01,1.0,148.68,793.33,5,0
870.13,0.8,147.05,723.08,4,0
663.34,0.4,73.22,590.13,2,0
816.08,0.8,108.14,707.95,4,0
1020.83,1.0,189.68,831.15,5,0
1386.63,2.0,204.19,1182.44,10,0
572.35,0.2,97.86,474.49,1,0
1223.84,1.4,221.92,1001.92,7,0
563.68,0.2,96.76,466.92,1,0
536.38,0.2,54.32,482.05,1,0
857.8,0.8,127.16,730.64,4,0
587.51,0.2,105.46,482.05,1,0
909.93,1.0,71.22,838.72,5,0
600.2,0.2,148.41,451.79,1,0
826.76,0.8,111.24,715.51,4,0
671.12,0.4,126.38,544.74,2,0
1299.73,1.8,202.68,1097.05,9,0
653.59,0.4,71.03,582.56,2,0
1251.04,1.8,138.86,1112.18,9,0
656.61,0.4,111.86,544.74,2,0
889.47,1.0,96.14,793.33,5,0
987.57,1.0,179.11,808.46,5,0
1475.12,2.2,207.3,1267.82,11,0
740.34,0.6,102.65,637.69,3,0
921.39,1.0,128.05,793.33,5,0
753.17,0.6,100.35,652.82,3,0
928.63,1.0,142.86,785.77,5,0
922.2,1.0,75.92,846.28,5,0
487.37,0.0,83.14,404.23,0,0
1360.23,1.8,232.92,1127.31,9,0
556.76,0.2,89.84,466.92,1,0
1160.4,1.4,196.3,964.1,7,0
1177.71,1.4,175.78,1001.92,7,0
738.18,0.6,108.05,630.13,3,0
1062.4,1.2,198.81,863.59,6,0
536.02,0.2,46.41,489.62,1,0
1064.63,1.0,218.35,846.28,5,0
660.54,0.4,85.54,575.0,2,0
938.12,1.2,59.41,878.72,6,0
510.66,0.0,98.86,411.79,0,0
854.82,0.8,93.92,760.9,4,0
1013.13,1.2,141.97,871.15,6,0
519.66,0.0,54.92,464.74,0,0
