"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
226709.99,0.4487,37440.23,189269.85,673,0
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
805.15,0.6,106.95,698.21,3,0
753.25,0.4,132.86,620.38,2,0
762.85,0.4,104.65,658.21,2,0
522.37,0.0,57.62,464.74,0,0
666.15,0.2,108.46,557.69,1,0
854.06,0.6,133.16,720.9,3,0
695.34,0.2,130.08,565.26,1,0
635.42,0.0,178.24,457.18,0,0
548.41,0.0,68.54,479.87,0,0
1055.72,1.0,164.05,891.67,5,0
712.3,0.4,84.35,627.95,2,0
537.05,0.0,102.57,434.49,0,0
710.69,0.2,153.0,557.69,1,0
1214.17,1.2,252.24,961.92,6,0
918.61,0.8,112.32,806.28,4,0
910.16,0.6,166.57,743.59,3,0
984.71,0.8,170.86,813.85,4,0
934.72,0.8,143.57,791.15,4,0
877.29,0.6,186.65,690.64,3,0
1038.56,1.0,154.46,884.1,5,0
792.84,0.6,132.46,660.38,3,0
741.08,0.4,113.14,627.95,2,0
648.83,0.2,91.14,557.69,1,0
937.4,0.6,193.81,743.59,3,0
651.3,0.2,131.43,519.87,1,0
829.8,0.6,139.16,690.64,3,0
1156.23,1.2,217.0,939.23,6,0
585.93,0.0,106.05,479.87,0,0
758.86,0.4,123.35,635.51,2,0
732.1,0.4,89.03,643.08,2,0
525.35,0.0,75.73,449.62,0,0
543.24,0.0,108.76,434.49,0,0
553.64,0.0,104.03,449.62,0,0
529.0,0.0,86.95,442.05,0,0
462.93,0.0,51.14,411.79,0,0
496.11,0.0,61.62,434.49,0,0
1199.5,1.4,212.7,986.79,7,0
1078.18,1.0,194.08,884.1,5,0
649.48,0.2,99.35,550.13,1,0
795.13,0.4,144.49,650.64,2,0
798.46,0.6,115.38,683.08,3,0
702.17,0.2,129.35,572.82,1,0
948.21,0.8,172.19,776.03,4,0
822.9,0.6,117.14,705.77,3,0
748.92,0.2,206.35,542.56,1,0
557.88,0.0,93.14,464.74,0,0
760.39,0.4,147.57,612.82,2,0
676.83,0.4,79.14,597.69,2,0
1031.74,1.0,193.03,838.72,5,0
591.12,0.2,78.81,512.31,1,0
586.88,0.0,122.14,464.74,0,0
635.48,0.4,52.92,582.56,2,0
592.51,0.2,57.51,535.0,1,0
756.14,0.4,181.14,575.0,2,0
639.37,0.2,89.24,550.13,1,0
640.97,0.2,90.84,550.13,1,0
818.65,0.6,97.76,720.9,3,0
744.87,0.4,132.05,612.82,2,0
777.9,0.6,125.08,652.82,3,0
900.56,0.6,156.97,743.59,3,0
627.7,0.2,85.14,542.56,1,0
1085.14,0.8,263.73,821.41,4,0
771.67,0.4,136.16,635.51,2,0
850.96,0.8,112.76,738.21,4,0
1013.61,1.0,174.89,838.72,5,0
1077.06,1.0,215.65,861.41,5,0
796.21,0.6,105.57,690.64,3,0
518.65,0.0,84.16,434.49,0,0
553.83,0.2,64.22,489.62,1,0
726.46,0.4,90.95,635.51,2,0
905.77,0.8,152.43,753.33,4,0
1091.45,1.2,212.73,878.72,6,0
803.61,0.4,152.97,650.64,2,0
850.31,0.6,136.97,713.33,3,0
637.78,0.2,95.22,542.56,1,0
648.41,0.2,120.97,527.44,1,0
604.56,0.2,62.0,542.56,1,0
494.92,0.0,60.43,434.49,0,0
636.08,0.2,101.08,535.0,1,0
775.3,0.4,139.78,635.51,2,0
918.51,0.6,227.86,690.64,3,0
596.99,0.2,92.24,504.74,1,0
1123.49,1.2,214.51,908.97,6,0
546.25,0.0,73.95,472.31,0,0
796.91,0.6,113.84,683.08,3,0
657.04,0.2,99.35,557.69,1,0
588.17,0.0,115.86,472.31,0,0
710.62,0.4,128.05,582.56,2,0
629.75,0.2,79.62,550.13,1,0
707.08,0.2,164.51,542.56,1,0
670.99,0.2,105.73,565.26,1,0
707.34,0.2,142.08,565.26,1,0
892.24,0.6,216.73,675.51,3,0
638.03,0.2,118.16,519.87,1,0
713.88,0.2,156.19,557.69,1,0
938.06,0.6,224.73,713.33,3,0
1194.22,1.2,232.3,961.92,6,0
603.94,0.2,106.76,497.18,1,0
1044.49,0.8,230.65,813.85,4,0
564.75,0.0,107.57,457.18,0,0
519.51,0.2,45.03,474.49,1,0
686.99,0.2,136.86,550.13,1,0
487.74,0.0,75.95,411.79,0,0
838.8,0.8,93.03,745.77,4,0
803.84,0.4,168.32,635.51,2,0
629.93,0.2,110.05,519.87,1,0
766.06,0.4,145.68,620.38,2,0
892.48,0.8,154.27,738.21,4,0
823.72,0.6,133.08,690.64,3,0
663.66,0.2,158.92,504.74,1,0
701.2,0.4,95.95,605.26,2,0
715.3,0.4,87.35,627.95,2,0
777.79,0.4,157.41,620.38,2,0
970.46,0.8,202.0,768.46,4,0
870.15,0.8,124.38,745.77,4,0
1037.85,1.0,184.0,853.85,5,0
873.9,0.6,153.0,720.9,3,0
681.2,0.2,115.95,565.26,1,0
592.17,0.2,64.73,527.44,1,0
582.44,0.2,70.14,512.31,1,0
803.4,0.4,167.89,635.51,2,0
578.69,0.0,106.38,472.31,0,0
1037.07,1.0,137.84,899.23,5,0
756.3,0.4,128.35,627.95,2,0
802.63,0.4,136.86,665.77,2,0
1056.15,1.0,217.43,838.72,5,0
482.0,0.0,47.51,434.49,0,0
917.03,0.6,196.14,720.9,3,0
561.18,0.0,96.43,464.74,0,0
866.62,0.8,83.03,783.59,4,0
610.18,0.0,153.0,457.18,0,0
854.53,0.8,108.76,745.77,4,0
1144.49,1.4,142.57,1001.92,7,0
748.76,0.6,80.81,667.95,3,0
549.64,0.0,92.46,457.18,0,0
809.9,0.4,189.51,620.38,2,0
564.0,0.2,81.95,482.05,1,0
1018.6,1.0,157.19,861.41,5,0
525.24,0.0,75.62,449.62,0,0
726.74,0.2,161.49,565.26,1,0
643.7,0.2,101.14,542.56,1,0
620.81,0.2,85.81,535.0,1,0
479.36,0.0,60.0,419.36,0,0
1218.22,1.4,216.3,1001.92,7,0
883.0,0.6,146.97,736.03,3,0
635.91,0.4,38.22,597.69,2,0
522.54,0.0,88.05,434.49,0,0
871.73,0.6,143.27,728.46,3,0
