"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
227885.98,0.4447,38689.59,189196.27,667,35
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
805.15,0.6,106.95,698.21,3,0
753.25,0.4,132.86,620.38,2,0
762.85,0.4,104.65,658.21,2,0
522.37,0.0,57.62,464.74,0,0
666.15,0.2,108.46,557.69,1,0
854.06,0.6,133.16,720.9,3,1
695.34,0.2,130.08,565.26,1,0
635.42,0.0,178.24,457.18,0,0
548.41,0.0,68.54,479.87,0,0
1055.72,1.0,164.05,891.67,5,0
712.3,0.4,84.35,627.95,2,0
537.05,0.0,102.57,434.49,0,0
710.69,0.2,153.0,557.69,1,0
1214.17,1.2,252.24,961.92,6,0
918.61,0.8,112.32,806.28,4,0
910.16,0.6,166.57,743.59,3,0
984.71,0.8,170.86,813.85,4,0
934.72,0.8,143.57,791.15,4,1
877.29,0.6,186.65,690.64,3,0
1038.56,1.0,154.46,884.1,5,1
792.84,0.6,132.46,660.38,3,0
741.08,0.4,113.14,627.95,2,0
648.83,0.2,91.14,557.69,1,0
937.4,0.6,193.81,743.59,3,0
651.3,0.2,131.43,519.87,1,0
829.8,0.6,139.16,690.64,3,1
1156.23,1.2,217.0,939.23,6,0
585.93,0.0,106.05,479.87,0,0
758.86,0.4,123.35,635.51,2,0
757.93,0.4,99.73,658.21,2,1
525.35,0.0,75.73,449.62,0,0
517.68,0.0,90.76,426.92,0,0
572.56,0.0,122.95,449.62,0,0
531.7,0.0,89.65,442.05,0,0
462.93,0.0,51.14,411.79,0,0
494.11,0.0,59.62,434.49,0,0
1199.5,1.4,212.7,986.79,7,0
1077.37,1.0,193.27,884.1,5,0
649.48,0.2,99.35,550.13,1,0
932.21,0.8,156.19,776.03,4,0
876.41,0.8,123.08,753.33,4,0
702.17,0.2,129.35,572.82,1,0
948.21,0.8,172.19,776.03,4,0
736.65,0.4,101.14,635.51,2,0
748.92,0.2,206.35,542.56,1,0
557.88,0.0,93.14,464.74,0,0
760.39,0.4,147.57,612.82,2,0
671.42,0.4,73.73,597.69,2,0
1031.74,1.0,193.03,838.72,5,0
591.12,0.2,78.81,512.31,1,0
586.88,0.0,122.14,464.74,0,0
635.48,0.4,52.92,582.56,2,0
592.51,0.2,57.51,535.0,1,0
909.47,0.8,163.7,745.77,4,0
