"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
250080.22,0.4387,60245.44,189834.78,658,75
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
1007.63,0.6,286.73,720.9,3,0
737.69,0.4,124.86,612.82,2,0
738.43,0.4,95.35,643.08,2,0
540.37,0.0,75.62,464.74,0,0
669.15,0.2,111.46,557.69,1,0
851.95,0.6,131.05,720.9,3,0
687.45,0.2,122.19,565.26,1,0
643.53,0.0,186.35,457.18,0,0
542.71,0.0,62.84,479.87,0,0
1058.32,1.0,166.65,891.67,5,0
713.3,0.4,85.35,627.95,2,0
551.46,0.0,116.97,434.49,0,0
693.18,0.2,135.49,557.69,1,0
1278.87,1.2,309.38,969.49,6,0
924.77,0.8,110.92,813.85,4,0
944.16,0.6,200.57,743.59,3,0
993.52,0.8,179.68,813.85,4,0
932.56,0.8,148.97,783.59,4,1
873.29,0.6,182.65,690.64,3,0
1559.74,1.0,758.84,800.9,5,1
828.1,0.6,137.46,690.64,3,0
821.67,0.4,186.16,635.51,2,0
740.62,0.4,97.54,643.08,2,0
959.81,0.6,216.22,743.59,3,1
572.09,0.0,107.35,464.74,0,0
856.68,0.6,143.35,713.33,3,1
1327.62,1.2,350.57,977.05,6,1
576.36,0.0,104.05,472.31,0,0
855.16,0.4,212.08,643.08,2,0
800.01,0.4,134.24,665.77,2,0
563.78,0.0,114.16,449.62,0,0
632.27,0.0,190.22,442.05,0,0
549.89,0.0,107.84,442.05,0,1
512.92,0.0,78.43,434.49,0,0
497.03,0.0,62.54,434.49,0,0
496.11,0.0,61.62,434.49,0,1
1605.88,1.4,566.14,1039.74,7,0
1389.01,1.0,489.78,899.23,5,0
619.54,0.2,84.54,535.0,1,0
1387.78,0.8,596.62,791.15,4,0
874.21,0.6,191.14,683.08,3,0
621.0,0.2,86.0,535.0,1,0
1055.76,0.8,279.73,776.03,4,0
765.46,0.4,129.95,635.51,2,0
804.4,0.2,254.27,550.13,1,0
582.16,0.0,132.54,449.62,0,1
854.3,0.4,218.78,635.51,2,0
782.36,0.2,217.11,565.26,1,0
940.31,0.6,234.54,705.77,3,0
902.09,0.2,389.78,512.31,1,1
629.94,0.2,132.76,497.18,1,0
693.0,0.4,110.43,582.56,2,1
660.5,0.2,102.81,557.69,1,0
791.7,0.2,249.14,542.56,1,0
1180.47,0.6,474.7,705.77,3,1
595.92,0.2,60.92,535.0,1,0
861.57,0.4,241.19,620.38,2,1
766.18,0.4,168.49,597.69,2,0
1125.21,0.8,349.19,776.03,4,1
1519.85,1.0,681.14,838.72,5,1
720.98,0.2,148.16,572.82,1,0
1231.92,1.0,355.38,876.54,5,0
780.06,0.4,159.68,620.38,2,0
817.78,0.8,87.14,730.64,4,0
1083.8,1.0,245.08,838.72,5,0
1044.13,0.8,260.54,783.59,4,0
869.29,0.4,226.22,643.08,2,0
559.14,0.0,132.22,426.92,0,0
667.29,0.2,170.11,497.18,1,1
812.26,0.4,154.05,658.21,2,1
923.87,0.8,170.54,753.33,4,0
1034.54,1.0,218.51,816.03,5,0
911.5,0.4,245.73,665.77,2,0
935.37,0.6,191.78,743.59,3,0
