"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
253559.06,0.4667,60538.96,193020.11,700,5
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
1007.63,0.6,286.73,720.9,3,0
737.69,0.4,124.86,612.82,2,0
738.43,0.4,95.35,643.08,2,0
540.37,0.0,75.62,464.74,0,0
669.15,0.2,111.46,557.69,1,0
851.95,0.6,131.05,720.9,3,0
687.45,0.2,122.19,565.26,1,0
643.53,0.0,186.35,457.18,0,0
542.71,0.0,62.84,479.87,0,0
1058.32,1.0,166.65,891.67,5,0
713.3,0.4,85.35,627.95,2,0
551.46,0.0,116.97,434.49,0,0
693.18,0.2,135.49,557.69,1,0
1278.87,1.2,309.38,969.49,6,0
924.77,0.8,110.92,813.85,4,0
944.16,0.6,200.57,743.59,3,0
993.52,0.8,179.68,813.85,4,0
932.56,0.8,148.97,783.59,4,0
873.29,0.6,182.65,690.64,3,0
1051.26,1.0,167.16,884.1,5,0
819.24,0.6,136.16,683.08,3,0
837.08,0.4,201.57,635.51,2,0
744.21,0.4,101.14,643.08,2,0
935.1,0.6,191.51,743.59,3,0
575.8,0.0,111.05,464.74,0,0
937.83,0.6,239.62,698.21,3,0
1674.49,1.2,705.0,969.49,6,0
576.36,0.0,104.05,472.31,0,0
809.08,0.4,173.57,635.51,2,0
815.42,0.4,149.65,665.77,2,0
565.73,0.0,123.68,442.05,0,0
492.55,0.0,80.76,411.79,0,0
593.24,0.0,151.19,442.05,0,0
507.51,0.0,73.03,434.49,0,0
497.03,0.0,62.54,434.49,0,0
494.11,0.0,59.62,434.49,0,0
1602.18,1.4,562.43,1039.74,7,0
1389.83,1.0,490.59,899.23,5,0
619.54,0.2,84.54,535.0,1,0
987.48,0.4,329.27,658.21,2,0
925.56,0.6,242.49,683.08,3,0
617.0,0.2,82.0,535.0,1,0
1055.76,0.8,279.73,776.03,4,0
765.46,0.4,129.95,635.51,2,0
920.87,0.4,300.49,620.38,2,0
582.16,0.0,132.54,449.62,0,0
934.82,0.4,314.43,620.38,2,0
919.62,0.4,284.11,635.51,2,0
936.61,0.6,230.84,705.77,3,0
902.09,0.2,389.78,512.31,1,0
542.65,0.0,108.16,434.49,0,0
647.97,0.4,65.41,582.56,2,0
669.64,0.2,111.95,557.69,1,0
749.26,0.2,184.0,565.26,1,0
855.67,0.4,212.59,643.08,2,0
825.0,0.2,282.43,542.56,1,0
861.57,0.4,241.19,620.38,2,0
766.18,0.4,168.49,597.69,2,0
796.62,0.6,128.68,667.95,3,0
1001.24,0.8,225.22,776.03,4,1
786.53,0.2,221.27,565.26,1,0
996.65,0.6,260.62,736.03,3,0
754.6,0.4,126.65,627.95,2,0
819.18,0.8,88.54,730.64,4,0
999.7,0.8,223.68,776.03,4,0
1044.13,0.8,260.54,783.59,4,0
1047.55,0.6,326.65,720.9,3,0
489.96,0.0,78.16,411.79,0,0
443.5,0.0,31.7,411.79,0,1
831.18,0.4,172.97,658.21,2,0
839.02,0.6,155.95,683.08,3,0
1370.63,1.2,469.22,901.41,6,0
1016.07,0.4,357.86,658.21,2,0
906.19,0.6,170.16,736.03,3,0
857.24,0.2,307.11,550.13,1,0
524.1,0.0,66.92,457.18,0,0
583.22,0.2,48.22,535.0,1,0
512.92,0.0,78.43,434.49,0,0
842.74,0.6,182.35,660.38,3,0
1036.07,0.4,377.86,658.21,2,0
985.1,0.6,286.89,698.21,3,0
759.45,0.4,154.19,605.26,2,0
1503.97,1.4,494.49,1009.49,7,0
772.07,0.4,181.95,590.13,2,0
668.16,0.2,125.59,542.56,1,0
947.43,0.8,178.97,768.46,4,0
807.98,0.2,280.54,527.44,1,0
702.86,0.2,160.3,542.56,1,0
669.12,0.2,103.86,565.26,1,0
950.22,0.4,322.27,627.95,2,0
806.73,0.4,163.65,643.08,2,0
646.21,0.2,103.65,542.56,1,0
772.26,0.4,167.0,605.26,2,0
589.16,0.0,139.54,449.62,0,0
913.44,0.8,167.68,745.77,4,0
1120.01,1.0,273.73,846.28,5,0
1232.66,1.0,333.43,899.23,5,0
779.85,0.2,275.11,504.74,1,0
1443.13,1.0,559.03,884.1,5,1
885.95,0.2,350.95,535.0,1,0
477.99,0.0,73.76,404.23,0,0
1046.76,0.6,325.86,720.9,3,0
481.74,0.0,69.95,411.79,0,0
751.0,0.4,123.05,627.95,2,0
562.26,0.0,105.08,457.18,0,0
603.88,0.2,99.14,504.74,1,0
841.99,0.4,244.3,597.69,2,0
1033.24,0.8,249.65,783.59,4,0
804.31,0.4,138.54,665.77,2,0
923.42,0.4,310.59,612.82,2,0
905.04,0.6,199.27,705.77,3,0
793.36,0.4,172.97,620.38,2,0
1099.4,0.6,416.32,683.08,3,0
994.97,0.6,319.46,675.51,3,0
1210.51,1.0,333.97,876.54,5,0
953.67,0.6,217.65,736.03,3,0
792.46,0.4,149.38,643.08,2,0
1082.74,0.6,376.97,705.77,3,0
991.24,0.6,315.73,675.51,3,0
439.31,0.0,27.51,411.79,0,0
1146.23,0.8,355.08,791.15,4,0
882.94,0.6,139.35,743.59,3,0
956.3,0.6,235.41,720.9,3,0
948.36,0.6,242.59,705.77,3,0
717.34,0.2,152.08,565.26,1,0
1095.73,0.8,327.27,768.46,4,1
517.13,0.0,67.51,449.62,0,0
1038.49,0.6,302.46,736.03,3,0
577.99,0.0,113.24,464.74,0,0
839.49,0.6,111.03,728.46,3,0
521.03,0.0,86.54,434.49,0,0
691.3,0.4,70.92,620.38,2,0
1339.73,1.2,423.19,916.54,6,0
682.13,0.2,132.0,550.13,1,0
608.2,0.2,103.46,504.74,1,0
864.98,0.6,204.59,660.38,3,0
543.18,0.2,46.0,497.18,1,0
1011.97,0.6,275.95,736.03,3,0
518.19,0.0,76.14,442.05,0,0
467.31,0.0,55.51,411.79,0,1
612.03,0.2,77.03,535.0,1,0
788.99,0.2,231.3,557.69,1,0
450.9,0.0,39.11,411.79,0,0
1520.99,1.4,488.81,1032.18,7,0
909.47,0.6,188.57,720.9,3,0
669.8,0.4,64.54,605.26,2,0
600.19,0.0,165.7,434.49,0,0
833.91,0.4,183.27,650.64,2,0
941.48,0.8,157.89,783.59,4,0
1015.48,0.8,231.89,783.59,4,0
567.34,0.0,110.16,457.18,0,0
949.75,0.4,291.54,658.21,2,0
666.12,0.2,108.43,557.69,1,0
854.3,0.6,125.84,728.46,3,0
451.79,0.0,40.0,411.79,0,0
778.88,0.4,181.19,597.69,2,0
855.6,0.6,142.27,713.33,3,0
1204.7,1.0,396.24,808.46,5,0
534.27,0.0,92.22,442.05,0,0
746.79,0.6,86.41,660.38,3,0
691.23,0.2,178.92,512.31,1,0
925.49,0.6,189.46,736.03,3,0
1098.97,0.8,322.95,776.03,4,0
649.04,0.2,151.86,497.18,1,0
634.62,0.2,99.62,535.0,1,0
1005.36,1.0,143.95,861.41,5,0
1413.79,1.2,504.81,908.97,6,0
829.71,0.4,201.76,627.95,2,0
1556.19,1.4,546.7,1009.49,7,0
856.02,0.4,205.38,650.64,2,0
1001.37,0.8,263.16,738.21,4,0
892.22,0.6,216.7,675.51,3,0
794.84,0.6,134.46,660.38,3,0
1055.32,0.8,264.16,791.15,4,0
702.15,0.2,144.46,557.69,1,0
723.61,0.4,118.35,605.26,2,0
893.63,0.4,273.24,620.38,2,0
983.88,0.6,285.68,698.21,3,0
544.74,0.0,72.43,472.31,0,0
837.03,0.4,209.08,627.95,2,0
821.28,0.6,168.46,652.82,3,0
731.86,0.4,141.73,590.13,2,0
1002.32,0.6,258.73,743.59,3,0
766.11,0.2,238.68,527.44,1,0
1229.85,0.6,531.65,698.21,3,0
956.76,0.4,321.24,635.51,2,0
671.62,0.2,129.05,542.56,1,0
1025.14,0.6,357.19,667.95,3,0
1003.44,0.6,282.54,720.9,3,0
1048.66,1.0,194.81,853.85,5,0
597.39,0.0,125.08,472.31,0,0
494.11,0.0,59.62,434.49,0,0
786.13,0.6,103.05,683.08,3,0
1156.24,0.8,312.14,844.1,4,0
933.44,0.4,267.68,665.77,2,0
709.57,0.2,189.7,519.87,1,0
1108.51,1.0,277.35,831.15,5,0
1010.47,0.6,297.14,713.33,3,0
876.19,0.6,155.3,720.9,3,0
689.88,0.2,139.76,550.13,1,0
614.52,0.4,62.22,552.31,2,0
489.71,0.0,70.35,419.36,0,0
820.29,0.4,162.08,658.21,2,0
752.33,0.4,131.95,620.38,2,0
1148.29,0.8,357.14,791.15,4,0
690.74,0.4,130.86,559.87,2,0
803.99,0.6,113.35,690.64,3,0
901.61,0.2,351.49,550.13,1,0
880.34,0.4,275.08,605.26,2,0
1279.16,1.0,410.19,868.97,5,0
1023.82,0.6,302.92,720.9,3,0
1028.02,0.6,329.81,698.21,3,0
903.69,0.4,245.49,658.21,2,0
753.41,0.4,125.46,627.95,2,0
915.4,0.6,232.32,683.08,3,0
904.72,0.4,246.51,658.21,2,0
1245.91,1.0,407.19,838.72,5,0
1071.73,0.8,303.27,768.46,4,0
627.43,0.2,92.43,535.0,1,0
433.74,0.0,29.51,404.23,0,0
984.67,0.8,261.59,723.08,4,0
553.94,0.0,111.89,442.05,0,0
1020.23,0.8,266.89,753.33,4,0
1203.82,0.8,450.49,753.33,4,0
808.38,0.4,172.86,635.51,2,0
1136.31,0.8,322.46,813.85,4,0
1165.11,0.8,396.65,768.46,4,0
993.27,1.0,169.68,823.59,5,0
816.61,0.4,218.92,597.69,2,0
648.0,0.2,113.0,535.0,1,0
744.17,0.6,91.35,652.82,3,0
719.76,0.4,91.81,627.95,2,0
649.57,0.2,122.14,527.44,1,0
1019.52,1.0,165.68,853.85,5,0
787.64,0.4,144.57,643.08,2,0
801.98,0.4,174.03,627.95,2,0
606.62,0.2,71.62,535.0,1,0
984.87,1.0,123.46,861.41,5,0
1134.59,0.6,398.57,736.03,3,0
656.4,0.4,73.84,582.56,2,0
1048.94,0.6,358.3,690.64,3,0
664.55,0.2,152.24,512.31,1,0
981.24,0.4,338.16,643.08,2,0
500.49,0.0,66.0,434.49,0,0
1266.3,1.2,364.89,901.41,6,0
894.59,0.4,251.51,643.08,2,0
729.15,0.4,131.46,597.69,2,0
856.91,0.4,259.22,597.69,2,0
872.85,0.6,174.65,698.21,3,0
800.63,0.6,79.73,720.9,3,0
707.19,0.6,84.62,622.56,3,0
929.53,0.4,271.32,658.21,2,0
585.92,0.0,143.86,442.05,0,0
1014.23,0.8,223.08,791.15,4,0
896.44,0.4,276.05,620.38,2,0
533.3,0.0,98.81,434.49,0,0
980.49,0.8,159.08,821.41,4,0
976.91,0.6,293.84,683.08,3,0
435.2,0.0,23.41,411.79,0,0
552.58,0.2,55.41,497.18,1,0
1268.46,1.0,399.49,868.97,5,0
777.6,0.4,149.65,627.95,2,0
847.75,0.2,290.05,557.69,1,0
814.83,0.4,224.7,590.13,2,0
693.31,0.4,95.62,597.69,2,0
725.91,0.4,120.65,605.26,2,0
730.66,0.4,125.41,605.26,2,0
