"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
666.12,0.2,108.43,557.69,1,0
759.34,0.4,101.14,658.21,2,0
443.2,0.0,31.41,411.79,0,0
765.53,0.4,160.27,605.26,2,0
707.57,0.4,79.62,627.95,2,0
1123.02,1.2,251.86,871.15,6,0
495.0,0.0,60.51,434.49,0,0
623.32,0.2,88.32,535.0,1,0
1003.92,1.0,203.03,800.9,5,0
974.73,0.6,238.7,736.03,3,0
869.01,0.6,208.62,660.38,3,0
789.96,0.4,192.27,597.69,2,0
835.73,0.6,152.65,683.08,3,0
1182.26,1.2,250.59,931.67,6,0
995.27,1.0,186.81,808.46,5,0
731.41,0.4,111.03,620.38,2,0
1091.85,1.0,253.14,838.72,5,0
1028.28,1.0,166.86,861.41,5,0
922.21,0.6,231.57,690.64,3,0
841.85,0.6,143.65,698.21,3,0
564.28,0.0,144.92,419.36,0,0
678.56,0.2,136.0,542.56,1,0
889.16,0.6,206.08,683.08,3,0
649.51,0.2,106.95,542.56,1,0
753.14,0.4,132.76,620.38,2,0
1095.6,1.2,186.62,908.97,6,0
559.61,0.0,94.86,464.74,0,0
898.21,0.6,215.14,683.08,3,0
821.28,0.6,168.46,652.82,3,0
914.57,0.4,279.05,635.51,2,0
944.94,0.6,193.78,751.15,3,0
866.59,0.4,223.51,643.08,2,0
955.23,0.8,201.89,753.33,4,0
1062.3,0.6,333.84,728.46,3,0
543.13,0.0,85.95,457.18,0,0
721.16,0.4,138.59,582.56,2,0
923.62,0.8,147.59,776.03,4,0
1033.85,0.8,235.14,798.72,4,0
714.28,0.2,141.46,572.82,1,0
500.41,0.0,81.05,419.36,0,0
633.78,0.2,83.65,550.13,1,0
957.0,0.6,220.97,736.03,3,0
773.58,0.2,208.32,565.26,1,0
647.34,0.2,97.22,550.13,1,0
1135.67,0.8,344.51,791.15,4,0
1058.91,0.8,260.19,798.72,4,0
597.28,0.0,124.97,472.31,0,0
769.22,0.4,141.27,627.95,2,0
653.47,0.2,141.16,512.31,1,0
480.79,0.0,61.43,419.36,0,0
640.1,0.2,97.54,542.56,1,0
740.41,0.4,120.03,620.38,2,0
616.62,0.2,81.62,535.0,1,0
537.46,0.0,102.97,434.49,0,0
809.4,0.6,118.76,690.64,3,0
763.74,0.4,158.49,605.26,2,0
673.71,0.2,161.41,512.31,1,0
898.36,0.6,177.46,720.9,3,0
1017.29,1.2,138.57,878.72,6,1
842.48,0.6,151.84,690.64,3,0
986.62,0.8,210.59,776.03,4,0
681.06,0.4,68.24,612.82,2,0
837.88,0.8,92.11,745.77,4,0
904.72,0.4,246.51,658.21,2,0
1001.21,0.6,318.14,683.08,3,0
849.7,0.4,206.62,643.08,2,0
626.74,0.2,114.43,512.31,1,0
637.0,0.2,102.0,535.0,1,0
636.68,0.2,109.24,527.44,1,0
677.28,0.2,157.41,519.87,1,0
683.23,0.2,125.54,557.69,1,0
708.31,0.2,211.14,497.18,1,0
870.9,0.8,170.51,700.38,4,0
987.71,0.8,173.86,813.85,4,0
961.16,0.8,192.7,768.46,4,0
776.53,0.6,78.32,698.21,3,0
504.62,0.0,70.14,434.49,0,0
668.43,0.2,133.43,535.0,1,0
744.17,0.6,91.35,652.82,3,0
952.2,0.8,198.86,753.33,4,0
780.6,0.4,152.65,627.95,2,0
878.65,0.8,117.76,760.9,4,0
918.56,0.6,174.97,743.59,3,0
748.55,0.6,95.73,652.82,3,0
606.62,0.2,71.62,535.0,1,0
984.87,1.0,123.46,861.41,5,0
1115.28,1.0,261.43,853.85,5,0
918.74,0.8,157.84,760.9,4,0
551.11,0.0,109.05,442.05,0,0
691.34,0.4,93.65,597.69,2,0
938.94,0.4,295.86,643.08,2,0
519.43,0.0,84.95,434.49,0,0
701.58,0.4,88.76,612.82,2,0
872.41,0.6,159.08,713.33,3,0
647.65,0.2,112.65,535.0,1,0
688.57,0.4,113.57,575.0,2,0
450.56,0.0,46.32,404.23,0,0
868.32,0.8,84.73,783.59,4,0
668.63,0.4,116.32,552.31,2,0
850.63,0.6,144.86,705.77,3,0
737.67,0.2,179.97,557.69,1,0
901.59,0.8,125.57,776.03,4,0
894.39,0.4,228.62,665.77,2,0
766.29,0.4,176.16,590.13,2,0
884.81,0.6,148.78,736.03,3,0
753.49,0.6,85.54,667.95,3,0
436.5,0.0,24.7,411.79,0,0
537.92,0.2,63.43,474.49,1,0
1005.61,1.0,166.89,838.72,5,0
848.17,0.6,127.27,720.9,3,0
783.38,0.6,115.43,667.95,3,0
674.99,0.2,124.86,550.13,1,0
674.13,0.4,84.0,590.13,2,0
615.34,0.2,118.16,497.18,1,0
903.07,0.6,212.43,690.64,3,0
577.07,0.0,119.89,457.18,0,0
615.03,0.2,148.11,466.92,1,0
561.41,0.2,26.41,535.0,1,0
974.8,0.8,168.51,806.28,4,0
788.7,0.4,153.19,635.51,2,0
643.91,0.2,139.16,504.74,1,0
528.49,0.2,54.0,474.49,1,0
552.58,0.2,55.41,497.18,1,0
551.13,0.0,93.95,457.18,0,0
463.79,0.0,52.0,411.79,0,0
988.2,1.0,149.49,838.72,5,0
813.53,0.4,208.27,605.26,2,0
1057.14,0.8,296.24,760.9,4,0
553.59,0.0,111.54,442.05,0,0
521.03,0.0,86.54,434.49,0,0
634.09,0.4,74.22,559.87,2,0
1276.96,1.2,330.16,946.79,6,0
644.37,0.0,179.62,464.74,0,0
886.88,0.6,188.68,698.21,3,0
909.8,0.6,204.03,705.77,3,0
579.96,0.0,122.78,457.18,0,0
899.05,0.6,208.41,690.64,3,0
988.21,0.6,252.19,736.03,3,0
913.73,0.6,238.22,675.51,3,0
1114.81,0.8,338.78,776.03,4,0
940.82,0.8,187.49,753.33,4,0
1054.41,0.8,240.57,813.85,4,0
689.31,0.2,124.05,565.26,1,0
1096.94,1.2,180.41,916.54,6,0
1137.73,1.0,276.32,861.41,5,0
978.53,0.8,179.81,798.72,4,0
