"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
239442.96,0.4453,49321.73,190121.31,668,71
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
892.41,0.6,179.08,713.33,3,0
786.28,0.4,165.89,620.38,2,0
733.02,0.4,89.95,643.08,2,0
540.28,0.0,75.54,464.74,0,0
666.45,0.2,108.76,557.69,1,0
848.84,0.6,127.95,720.9,3,0
695.63,0.2,130.38,565.26,1,0
635.42,0.0,178.24,457.18,0,0
643.5,0.2,78.24,565.26,1,0
1068.61,1.0,176.95,891.67,5,0
713.3,0.4,85.35,627.95,2,0
542.87,0.0,108.38,434.49,0,0
717.69,0.2,160.0,557.69,1,0
1282.16,1.2,312.68,969.49,6,0
925.36,0.8,111.51,813.85,4,0
946.86,0.6,203.27,743.59,3,0
993.52,0.8,179.68,813.85,4,0
932.56,0.8,148.97,783.59,4,1
864.1,0.6,173.46,690.64,3,0
1101.18,1.0,217.08,884.1,5,1
837.22,0.6,161.7,675.51,3,0
776.22,0.4,148.27,627.95,2,0
671.94,0.2,114.24,557.69,1,0
946.4,0.6,202.81,743.59,3,1
674.51,0.2,131.95,542.56,1,0
977.53,0.6,279.32,698.21,3,1
1342.44,1.2,388.08,954.36,6,1
576.36,0.0,104.05,472.31,0,0
809.08,0.4,173.57,635.51,2,0
815.42,0.4,149.65,665.77,2,0
563.78,0.0,114.16,449.62,0,0
579.03,0.0,152.11,426.92,0,0
474.87,0.0,55.51,419.36,0,1
529.35,0.0,94.86,434.49,0,0
497.03,0.0,62.54,434.49,0,0
494.11,0.0,59.62,434.49,0,1
1394.92,1.4,377.86,1017.05,7,0
1162.34,1.0,263.11,899.23,5,0
693.32,0.2,143.19,550.13,1,0
918.09,0.6,204.76,713.33,3,0
975.34,0.6,284.7,690.64,3,0
617.0,0.2,82.0,535.0,1,1
990.29,0.8,206.7,783.59,4,0
765.46,0.4,129.95,635.51,2,0
804.4,0.2,254.27,550.13,1,0
539.0,0.0,96.95,442.05,0,1
755.53,0.4,150.27,605.26,2,0
801.69,0.4,188.86,612.82,2,1
955.58,0.6,242.24,713.33,3,0
557.18,0.2,60.0,497.18,1,1
581.78,0.0,132.16,449.62,0,1
648.08,0.4,65.51,582.56,2,0
669.64,0.2,111.95,557.69,1,1
694.65,0.2,167.22,527.44,1,0
679.96,0.2,122.27,557.69,1,0
685.61,0.2,135.49,550.13,1,0
723.96,0.4,111.14,612.82,2,1
801.58,0.4,196.32,605.26,2,0
695.39,0.4,90.14,605.26,2,1
922.46,0.2,387.46,535.0,1,1
812.14,0.2,239.32,572.82,1,0
961.92,0.6,225.89,736.03,3,0
671.75,0.2,114.05,557.69,1,0
930.26,0.8,184.49,745.77,4,0
1104.08,0.8,328.05,776.03,4,1
1044.13,0.8,260.54,783.59,4,0
985.77,0.6,272.43,713.33,3,0
559.14,0.0,132.22,426.92,0,0
563.54,0.2,89.05,474.49,1,1
879.71,0.6,166.38,713.33,3,1
857.04,0.6,158.84,698.21,3,0
1193.95,1.4,252.54,941.41,7,0
913.8,0.4,248.03,665.77,2,0
951.74,0.8,145.46,806.28,4,1
720.85,0.2,163.16,557.69,1,0
692.55,0.2,172.68,519.87,1,0
612.95,0.2,77.95,535.0,1,1
512.92,0.0,78.43,434.49,0,0
888.44,0.6,220.49,667.95,3,1
801.13,0.4,150.49,650.64,2,1
992.31,0.6,294.11,698.21,3,0
552.37,0.0,102.76,449.62,0,0
1288.49,1.4,294.14,994.36,7,0
869.18,0.6,178.54,690.64,3,1
1072.27,0.8,303.81,768.46,4,1
744.71,0.4,116.76,627.95,2,0
579.39,0.0,114.65,464.74,0,0
686.76,0.4,111.76,575.0,2,0
737.4,0.2,179.7,557.69,1,0
756.86,0.2,206.73,550.13,1,0
776.05,0.4,140.54,635.51,2,0
619.7,0.2,77.14,542.56,1,0
718.29,0.2,175.73,542.56,1,0
591.45,0.0,141.84,449.62,0,0
738.23,0.4,132.97,605.26,2,0
1155.95,1.0,294.54,861.41,5,0
1232.66,1.0,333.43,899.23,5,0
757.01,0.2,244.7,512.31,1,0
1412.08,0.8,636.05,776.03,4,1
594.31,0.0,129.57,464.74,0,0
584.24,0.0,149.76,434.49,0,0
893.89,0.8,117.86,776.03,4,1
546.6,0.0,119.68,426.92,0,0
854.24,0.6,163.59,690.64,3,1
659.33,0.2,131.89,527.44,1,1
793.85,0.6,148.59,645.26,3,1
828.05,0.6,144.97,683.08,3,0
915.47,0.6,202.14,713.33,3,0
711.91,0.2,146.65,565.26,1,0
701.39,0.2,189.08,512.31,1,0
917.95,0.6,189.49,728.46,3,0
794.71,0.6,126.76,667.95,3,1
1062.23,0.6,348.89,713.33,3,0
953.8,0.6,263.16,690.64,3,0
1045.66,0.8,246.95,798.72,4,0
991.49,0.6,255.46,736.03,3,0
723.46,0.4,87.95,635.51,2,1
742.23,0.2,176.97,565.26,1,0
667.2,0.2,101.95,565.26,1,0
703.6,0.4,136.16,567.44,2,0
1155.15,0.8,364.0,791.15,4,0
1032.35,1.2,115.81,916.54,6,0
824.85,0.4,166.65,658.21,2,0
922.55,0.6,216.78,705.77,3,0
890.09,0.4,224.32,665.77,2,1
1169.16,0.8,400.7,768.46,4,1
499.4,0.0,42.22,457.18,0,0
1030.78,0.6,294.76,736.03,3,0
541.89,0.0,99.84,442.05,0,0
900.18,0.8,109.03,791.15,4,0
617.94,0.2,120.76,497.18,1,0
608.24,0.2,73.24,535.0,1,0
960.11,0.6,224.08,736.03,3,0
652.27,0.2,109.7,542.56,1,1
540.84,0.0,98.78,442.05,0,0
1016.81,0.8,248.35,768.46,4,0
516.87,0.0,89.95,426.92,0,0
851.31,0.4,193.11,658.21,2,0
518.78,0.0,76.73,442.05,0,0
678.98,0.2,166.68,512.31,1,0
606.62,0.2,71.62,535.0,1,0
727.88,0.2,170.19,557.69,1,0
445.2,0.0,33.41,411.79,0,0
1147.34,1.2,208.11,939.23,6,0
968.66,0.8,162.38,806.28,4,0
701.47,0.4,88.65,612.82,2,0
730.8,0.2,173.11,557.69,1,0
924.07,0.4,273.43,650.64,2,0
1043.53,1.0,204.81,838.72,5,1
889.71,0.8,136.38,753.33,4,0
651.43,0.4,76.43,575.0,2,0
839.5,0.6,126.16,713.33,3,0
666.94,0.2,109.24,557.69,1,0
881.78,0.6,145.76,736.03,3,0
445.01,0.0,33.22,411.79,0,0
872.09,0.6,211.7,660.38,3,1
707.57,0.4,79.62,627.95,2,0
961.78,0.8,170.62,791.15,4,0
695.55,0.2,122.73,572.82,1,0
776.68,0.6,108.73,667.95,3,1
842.01,0.6,181.62,660.38,3,0
983.4,0.6,239.81,743.59,3,1
765.95,0.4,130.43,635.51,2,0
771.36,0.4,158.54,612.82,2,0
609.37,0.2,119.76,489.62,1,0
823.8,0.4,165.59,658.21,2,0
858.48,0.6,175.41,683.08,3,0
684.24,0.2,141.68,542.56,1,0
985.0,1.0,168.97,816.03,5,0
783.35,0.6,107.84,675.51,3,0
1166.26,0.8,375.11,791.15,4,0
976.64,1.0,153.05,823.59,5,0
627.3,0.0,192.81,434.49,0,0
758.61,0.4,160.92,597.69,2,0
762.3,0.4,134.35,627.95,2,0
649.51,0.2,106.95,542.56,1,0
777.3,0.4,141.78,635.51,2,1
1271.9,1.4,277.54,994.36,7,1
688.99,0.2,138.86,550.13,1,0
749.04,0.4,143.78,605.26,2,0
823.36,0.6,162.97,660.38,3,0
855.37,0.6,172.3,683.08,3,0
1048.09,1.0,186.68,861.41,5,0
892.29,0.4,249.22,643.08,2,0
781.44,0.4,161.05,620.38,2,1
1004.42,0.8,213.27,791.15,4,1
546.18,0.0,81.43,464.74,0,0
782.4,0.4,146.89,635.51,2,0
919.92,0.8,143.89,776.03,4,0
1126.82,1.0,280.54,846.28,5,0
740.5,0.2,167.68,572.82,1,0
500.41,0.0,81.05,419.36,0,0
754.97,0.4,119.46,635.51,2,0
859.63,0.4,193.86,665.77,2,0
743.36,0.4,122.97,620.38,2,0
534.14,0.0,99.65,434.49,0,0
1111.63,0.8,297.78,813.85,4,0
1166.71,0.8,352.86,813.85,4,1
646.52,0.2,119.08,527.44,1,1
687.31,0.2,122.05,565.26,1,0
652.97,0.2,102.84,550.13,1,0
585.86,0.0,128.68,457.18,0,0
913.17,0.4,247.41,665.77,2,0
695.12,0.4,97.43,597.69,2,1
660.56,0.4,70.43,590.13,2,1
753.2,0.2,187.95,565.26,1,0
845.2,0.8,99.43,745.77,4,0
794.87,0.4,174.49,620.38,2,0
785.52,0.4,157.57,627.95,2,0
749.07,0.2,183.81,565.26,1,0
909.43,0.8,140.97,768.46,4,1
803.79,0.4,175.84,627.95,2,1
831.82,0.6,179.0,652.82,3,1
706.2,0.6,45.81,660.38,3,1
783.59,0.8,60.51,723.08,4,0
1011.61,1.0,172.89,838.72,5,0
731.33,0.2,219.03,512.31,1,0
1046.66,0.8,232.81,813.85,4,0
650.47,0.2,138.16,512.31,1,0
511.19,0.2,36.7,474.49,1,0
717.21,0.4,119.51,597.69,2,0
622.69,0.0,165.51,457.18,0,0
937.64,0.8,154.05,783.59,4,0
582.75,0.2,93.14,489.62,1,0
618.09,0.2,113.35,504.74,1,0
889.05,0.6,145.46,743.59,3,0
1301.52,1.0,447.68,853.85,5,1
824.37,0.4,181.3,643.08,2,0
713.3,0.2,178.3,535.0,1,1
698.16,0.2,163.16,535.0,1,0
814.71,0.8,106.76,707.95,4,0
746.49,0.6,86.11,660.38,3,0
625.72,0.2,120.97,504.74,1,0
762.08,0.6,94.14,667.95,3,1
1092.88,1.0,246.59,846.28,5,0
694.69,0.2,137.0,557.69,1,0
737.88,0.2,180.19,557.69,1,0
1268.41,1.2,374.57,893.85,6,1
1141.99,0.8,343.27,798.72,4,1
750.65,0.4,115.14,635.51,2,1
696.49,0.2,161.49,535.0,1,0
635.84,0.2,100.84,535.0,1,0
693.67,0.2,135.97,557.69,1,0
543.96,0.0,79.22,464.74,0,0
819.61,0.6,128.97,690.64,3,1
763.51,0.4,173.38,590.13,2,0
673.69,0.4,76.0,597.69,2,0
744.83,0.6,122.27,622.56,3,0
500.8,0.0,96.57,404.23,0,0
868.32,0.8,84.73,783.59,4,0
876.63,0.6,163.3,713.33,3,1
756.05,0.4,120.54,635.51,2,0
518.64,0.0,69.03,449.62,0,0
1042.07,1.0,195.78,846.28,5,1
806.41,0.4,186.03,620.38,2,0
555.09,0.0,143.3,411.79,0,0
1120.39,1.2,181.16,939.23,6,0
644.02,0.4,46.32,597.69,2,1
439.79,0.0,28.0,411.79,0,1
549.03,0.2,74.54,474.49,1,0
1073.62,0.8,290.03,783.59,4,0
1408.21,1.4,391.16,1017.05,7,1
693.72,0.2,128.46,565.26,1,0
614.64,0.2,117.46,497.18,1,0
605.87,0.4,46.0,559.87,2,0
822.1,0.6,131.46,690.64,3,0
682.83,0.2,125.14,557.69,1,0
580.97,0.0,146.49,434.49,0,0
530.24,0.0,95.76,434.49,0,0
740.03,0.6,79.65,660.38,3,0
893.15,0.6,142.0,751.15,3,0
662.32,0.2,119.76,542.56,1,0
640.3,0.4,80.43,559.87,2,1
521.58,0.2,24.41,497.18,1,1
868.71,0.6,200.76,667.95,3,0
479.79,0.0,60.43,419.36,0,1
447.71,0.0,35.92,411.79,0,0
631.23,0.2,126.49,504.74,1,0
697.98,0.4,130.54,567.44,2,0
956.19,0.8,195.3,760.9,4,1
562.46,0.0,127.97,434.49,0,0
568.51,0.0,118.89,449.62,0,0
478.49,0.0,59.14,419.36,0,0
915.57,0.6,240.05,675.51,3,0
1171.15,0.8,372.43,798.72,4,1
1089.32,0.6,353.3,736.03,3,0
1143.39,1.2,189.03,954.36,6,0
486.11,0.0,51.62,434.49,0,0
1133.84,0.8,312.43,821.41,4,0
1130.36,0.8,324.08,806.28,4,0
771.43,0.4,128.35,643.08,2,0
1022.44,0.8,261.54,760.9,4,0
577.4,0.0,127.78,449.62,0,0
1071.96,1.0,233.24,838.72,5,1
756.32,0.4,173.76,582.56,2,1
899.65,0.8,131.19,768.46,4,0
1057.2,0.8,250.92,806.28,4,0
1161.4,1.2,229.73,931.67,6,1
