"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
233236.45,0.4613,41754.27,191482.15,692,49
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
805.15,0.6,106.95,698.21,3,0
793.54,0.4,165.59,627.95,2,0
750.29,0.4,99.65,650.64,2,0
524.37,0.0,59.62,464.74,0,0
666.15,0.2,108.46,557.69,1,0
855.06,0.6,134.16,720.9,3,1
695.34,0.2,130.08,565.26,1,0
634.42,0.0,177.24,457.18,0,0
643.5,0.2,78.24,565.26,1,0
1066.02,1.0,174.35,891.67,5,0
713.19,0.4,85.24,627.95,2,0
545.76,0.0,111.27,434.49,0,0
713.99,0.2,156.3,557.69,1,0
1194.46,1.2,232.54,961.92,6,0
955.49,0.8,141.65,813.85,4,0
905.11,0.6,169.08,736.03,3,0
972.41,0.8,158.57,813.85,4,0
934.72,0.8,143.57,791.15,4,1
873.29,0.6,182.65,690.64,3,0
1028.3,1.0,151.76,876.54,5,1
813.97,0.6,138.46,675.51,3,0
738.38,0.4,110.43,627.95,2,0
648.83,0.2,91.14,557.69,1,0
936.1,0.6,192.51,743.59,3,0
673.4,0.2,130.84,542.56,1,0
844.72,0.6,154.08,690.64,3,1
1243.65,1.2,281.73,961.92,6,0
576.36,0.0,104.05,472.31,0,0
733.74,0.4,113.35,620.38,2,0
732.1,0.4,89.03,643.08,2,1
525.35,0.0,75.73,449.62,0,0
615.26,0.0,158.08,457.18,0,0
491.14,0.0,64.22,426.92,0,0
529.35,0.0,94.86,434.49,0,0
468.34,0.0,56.54,411.79,0,0
638.03,0.2,103.03,535.0,1,0
1214.01,1.4,227.22,986.79,7,0
1077.37,1.0,193.27,884.1,5,0
649.48,0.2,99.35,550.13,1,0
795.13,0.4,144.49,650.64,2,0
848.24,0.6,157.59,690.64,3,0
715.28,0.2,142.46,572.82,1,0
990.29,0.8,206.7,783.59,4,0
851.72,0.6,145.95,705.77,3,1
804.4,0.2,254.27,550.13,1,0
532.59,0.0,90.54,442.05,0,0
778.0,0.4,150.05,627.95,2,0
714.71,0.4,94.32,620.38,2,0
1031.74,1.0,193.03,838.72,5,0
591.12,0.2,78.81,512.31,1,0
540.21,0.0,98.16,442.05,0,0
607.23,0.4,54.92,552.31,2,0
648.31,0.2,90.62,557.69,1,0
779.09,0.4,158.7,620.38,2,0
674.56,0.2,116.86,557.69,1,0
749.6,0.6,89.22,660.38,3,1
714.65,0.4,79.14,635.51,2,0
750.63,0.4,145.38,605.26,2,0
779.9,0.6,127.08,652.82,3,1
902.78,0.8,126.76,776.03,4,1
671.26,0.2,121.14,550.13,1,0
961.24,0.6,225.22,736.03,3,0
771.67,0.4,136.16,635.51,2,0
746.55,0.4,126.16,620.38,2,0
1061.06,1.2,152.08,908.97,6,1
994.8,0.8,203.65,791.15,4,0
920.14,0.8,151.68,768.46,4,1
536.65,0.0,102.16,434.49,0,0
553.83,0.2,64.22,489.62,1,0
741.88,0.4,91.24,650.64,2,0
854.75,0.6,156.54,698.21,3,0
1037.24,1.0,221.22,816.03,5,0
808.61,0.4,157.97,650.64,2,0
902.09,0.6,181.19,720.9,3,0
638.48,0.2,95.92,542.56,1,0
666.97,0.2,131.97,535.0,1,0
577.0,0.2,42.0,535.0,1,0
512.92,0.0,78.43,434.49,0,0
934.03,0.8,218.51,715.51,4,1
939.62,0.8,163.59,776.03,4,1
925.72,0.6,235.08,690.64,3,0
551.28,0.0,86.54,464.74,0,0
1007.47,0.8,201.19,806.28,4,0
558.96,0.0,86.65,472.31,0,0
651.48,0.2,101.35,550.13,1,0
783.86,0.6,108.35,675.51,3,1
592.36,0.0,120.05,472.31,0,0
555.99,0.0,91.24,464.74,0,0
830.89,0.6,155.38,675.51,3,0
756.86,0.2,206.73,550.13,1,0
710.82,0.4,90.43,620.38,2,0
669.34,0.2,111.65,557.69,1,0
974.45,0.8,236.24,738.21,4,0
534.33,0.0,99.84,434.49,0,1
671.7,0.2,121.57,550.13,1,0
1049.61,0.8,243.32,806.28,4,0
1236.51,1.2,267.03,969.49,6,0
607.91,0.2,110.73,497.18,1,0
1641.59,1.0,825.57,816.03,5,1
652.28,0.0,172.41,479.87,0,0
524.98,0.0,98.05,426.92,0,0
701.76,0.2,174.32,527.44,1,1
609.37,0.0,159.76,449.62,0,0
833.66,0.8,80.32,753.33,4,1
702.03,0.2,167.03,535.0,1,0
632.03,0.2,112.16,519.87,1,1
713.36,0.4,100.54,612.82,2,0
826.56,0.6,143.49,683.08,3,0
760.17,0.4,139.78,620.38,2,0
787.99,0.6,157.86,630.13,3,0
736.44,0.4,116.05,620.38,2,0
693.36,0.4,80.54,612.82,2,1
880.76,0.6,205.24,675.51,3,0
717.22,0.2,182.22,535.0,1,0
869.77,0.6,164.0,705.77,3,0
796.97,0.4,153.89,643.08,2,0
696.9,0.2,124.08,572.82,1,0
694.31,0.2,129.05,565.26,1,0
529.69,0.0,72.51,457.18,0,0
502.38,0.0,60.32,442.05,0,0
1097.58,1.0,243.73,853.85,5,0
558.26,0.0,101.08,457.18,0,0
983.8,0.6,217.51,766.28,3,0
662.94,0.2,105.24,557.69,1,0
749.54,0.2,161.59,587.95,1,0
1661.51,1.2,850.86,810.64,6,1
571.17,0.0,98.86,472.31,0,0
1184.99,1.0,300.89,884.1,5,0
545.88,0.0,81.14,464.74,0,0
662.11,0.2,81.73,580.38,1,0
683.47,0.2,163.59,519.87,1,0
782.13,0.6,99.05,683.08,3,1
749.53,0.4,91.32,658.21,2,0
600.11,0.2,65.11,535.0,1,0
616.33,0.2,96.46,519.87,1,0
888.24,0.6,212.73,675.51,3,0
677.6,0.4,110.16,567.44,2,0
1088.99,1.2,164.89,924.1,6,1
633.54,0.2,98.54,535.0,1,0
561.13,0.0,119.08,442.05,0,0
588.9,0.2,69.03,519.87,1,0
851.56,0.6,168.49,683.08,3,0
466.76,0.0,47.41,419.36,0,0
1072.54,1.0,196.0,876.54,5,0
883.0,0.6,146.97,736.03,3,0
714.3,0.6,53.92,660.38,3,1
653.34,0.2,148.59,504.74,1,0
812.56,0.6,114.35,698.21,3,0
1047.61,1.0,208.89,838.72,5,1
1133.42,1.4,161.76,971.67,7,0
