"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
230907.27,0.452,40325.51,190581.75,678,0
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
805.15,0.6,106.95,698.21,3,0
793.54,0.4,165.59,627.95,2,0
750.29,0.4,99.65,650.64,2,0
524.37,0.0,59.62,464.74,0,0
666.15,0.2,108.46,557.69,1,0
854.06,0.6,133.16,720.9,3,0
695.34,0.2,130.08,565.26,1,0
635.42,0.0,178.24,457.18,0,0
542.71,0.0,62.84,479.87,0,0
1058.32,1.0,166.65,891.67,5,0
713.3,0.4,85.35,627.95,2,0
545.76,0.0,111.27,434.49,0,0
707.99,0.2,150.3,557.69,1,0
1198.17,1.2,236.24,961.92,6,0
966.06,0.8,144.65,821.41,4,0
897.11,0.6,161.08,736.03,3,0
984.71,0.8,170.86,813.85,4,0
939.13,0.8,147.97,791.15,4,0
873.29,0.6,182.65,690.64,3,0
1038.56,1.0,154.46,884.1,5,0
807.97,0.6,132.46,675.51,3,0
741.08,0.4,113.14,627.95,2,0
650.12,0.2,92.43,557.69,1,0
937.4,0.6,193.81,743.59,3,0
678.51,0.2,135.95,542.56,1,0
864.42,0.6,173.78,690.64,3,0
1242.2,1.2,287.84,954.36,6,0
576.36,0.0,104.05,472.31,0,0
733.74,0.4,113.35,620.38,2,0
732.1,0.4,89.03,643.08,2,0
525.35,0.0,75.73,449.62,0,0
621.99,0.0,164.81,457.18,0,0
469.36,0.0,50.0,419.36,0,0
620.33,0.2,100.46,519.87,1,0
528.48,0.0,86.43,442.05,0,0
629.92,0.2,94.92,535.0,1,0
1214.01,1.4,227.22,986.79,7,0
1118.83,1.0,219.59,899.23,5,0
655.48,0.2,105.35,550.13,1,0
833.12,0.4,174.92,658.21,2,0
878.24,0.6,202.73,675.51,3,0
715.58,0.2,142.76,572.82,1,0
990.29,0.8,206.7,783.59,4,0
765.46,0.4,129.95,635.51,2,0
804.4,0.2,254.27,550.13,1,0
532.59,0.0,90.54,442.05,0,0
724.45,0.4,126.76,597.69,2,0
705.07,0.4,99.81,605.26,2,0
1008.62,1.0,185.03,823.59,5,0
589.12,0.2,76.81,512.31,1,0
540.21,0.0,98.16,442.05,0,0
607.23,0.4,54.92,552.31,2,0
648.31,0.2,90.62,557.69,1,0
614.53,0.0,164.92,449.62,0,0
679.96,0.2,122.27,557.69,1,0
706.77,0.6,61.51,645.26,3,0
702.65,0.4,67.14,635.51,2,0
733.23,0.4,127.97,605.26,2,0
772.06,0.6,111.68,660.38,3,0
933.81,0.8,157.78,776.03,4,0
671.26,0.2,121.14,550.13,1,0
961.24,0.6,225.22,736.03,3,0
673.75,0.2,116.05,557.69,1,0
733.98,0.4,121.16,612.82,2,0
1064.76,1.2,155.78,908.97,6,0
979.24,0.8,195.65,783.59,4,0
920.14,0.8,151.68,768.46,4,0
536.65,0.0,102.16,434.49,0,0
669.03,0.4,94.03,575.0,2,0
755.4,0.4,104.76,650.64,2,0
852.59,0.6,161.95,690.64,3,0
995.63,1.0,194.73,800.9,5,0
858.61,0.4,200.41,658.21,2,0
763.27,0.4,127.76,635.51,2,0
769.38,0.6,101.43,667.95,3,0
616.82,0.2,96.95,519.87,1,0
605.37,0.2,62.81,542.56,1,0
512.92,0.0,78.43,434.49,0,0
630.38,0.2,95.38,535.0,1,0
1001.2,1.0,162.49,838.72,5,0
918.51,0.6,227.86,690.64,3,0
551.28,0.0,86.54,464.74,0,0
1004.36,0.8,198.08,806.28,4,0
558.96,0.0,86.65,472.31,0,0
742.39,0.4,129.57,612.82,2,0
758.52,0.4,130.57,627.95,2,0
591.28,0.0,118.97,472.31,0,0
575.02,0.0,132.97,442.05,0,0
729.74,0.4,124.49,605.26,2,0
831.11,0.4,210.73,620.38,2,0
710.82,0.4,90.43,620.38,2,0
669.34,0.2,111.65,557.69,1,0
816.93,0.4,196.54,620.38,2,0
539.89,0.0,97.84,442.05,0,0
708.48,0.2,150.78,557.69,1,0
1049.61,0.8,243.32,806.28,4,0
1165.42,1.0,258.62,906.79,5,0
568.72,0.0,111.54,457.18,0,0
1097.67,1.0,221.14,876.54,5,0
594.31,0.0,129.57,464.74,0,0
